Protein FDR Confidence: Mascot,Master,Accession,Description,# Unique Peptides,# PSMs,# Razor Peptides,"Abundance: F1: 126, Sample, QC, 36478, Syngap1","Abundance: F1: 129N, Sample, QC, 36479, Syngap1","Abundance: F1: 131C, Sample, QC, 36480, Syngap1","Abundance: F2: 126, Sample, QC, 38823, Ube3a","Abundance: F2: 129N, Sample, QC, 38824, Ube3a","Abundance: F2: 131C, Sample, QC, 38825, Ube3a","Abundance: F3: 126, Sample, QC, 38820, Shank2","Abundance: F3: 129N, Sample, QC, 38821, Shank2","Abundance: F3: 131C, Sample, QC, 38822, Shank2","Abundance: F4: 126, Sample, QC, 41349, Shank3","Abundance: F4: 129N, Sample, QC, 41350, Shank3","Abundance: F4: 131C, Sample, QC, 41351, Shank3","Abundance: F1: 127N, Sample, WT, 36471, Syngap1","Abundance: F1: 128N, Sample, WT, 36472, Syngap1","Abundance: F1: 129C, Sample, WT, 36474, Syngap1","Abundance: F1: 130C, Sample, WT, 36477, Syngap1","Abundance: F2: 127N, Sample, WT, 38812, Ube3a","Abundance: F2: 128N, Sample, WT, 38813, Ube3a","Abundance: F2: 129C, Sample, WT, 38816, Ube3a","Abundance: F2: 130C, Sample, WT, 38817, Ube3a","Abundance: F3: 127N, Sample, WT, 38804, Shank2","Abundance: F3: 128N, Sample, WT, 38805, Shank2","Abundance: F3: 129C, Sample, WT, 38806, Shank2","Abundance: F3: 130C, Sample, WT, 38810, Shank2","Abundance: F4: 127N, Sample, WT, 41333, Shank3","Abundance: F4: 128N, Sample, WT, 41334, Shank3","Abundance: F4: 129C, Sample, WT, 41339, Shank3","Abundance: F4: 130C, Sample, WT, 41340, Shank3","Abundance: F1: 127C, Sample, HET, 36470, Syngap1","Abundance: F1: 128C, Sample, HET, 36473, Syngap1","Abundance: F1: 130N, Sample, HET, 36475, Syngap1","Abundance: F1: 131N, Sample, HET, 36476, Syngap1","Abundance: F2: 127C, Sample, KO, 38814, Ube3a","Abundance: F2: 128C, Sample, KO, 38815, Ube3a","Abundance: F2: 130N, Sample, KO, 38818, Ube3a","Abundance: F2: 131N, Sample, KO, 38819, Ube3a","Abundance: F3: 127C, Sample, KO, 38807, Shank2","Abundance: F3: 128C, Sample, KO, 38808, Shank2","Abundance: F3: 130N, Sample, KO, 38809, Shank2","Abundance: F3: 131N, Sample, KO, 38811, Shank2","Abundance: F4: 127C, Sample, KO, 41335, Shank3","Abundance: F4: 128C, Sample, KO, 41336, Shank3","Abundance: F4: 130N, Sample, KO, 41337, Shank3","Abundance: F4: 131N, Sample, KO, 41338, Shank3","Abundances (Normalized): F1: 126, Sample, QC, 36478, Syngap1","Abundances (Normalized): F1: 129N, Sample, QC, 36479, Syngap1","Abundances (Normalized): F1: 131C, Sample, QC, 36480, Syngap1","Abundances (Normalized): F2: 126, Sample, QC, 38823, Ube3a","Abundances (Normalized): F2: 129N, Sample, QC, 38824, Ube3a","Abundances (Normalized): F2: 131C, Sample, QC, 38825, Ube3a","Abundances (Normalized): F3: 126, Sample, QC, 38820, Shank2","Abundances (Normalized): F3: 129N, Sample, QC, 38821, Shank2","Abundances (Normalized): F3: 131C, Sample, QC, 38822, Shank2","Abundances (Normalized): F4: 126, Sample, QC, 41349, Shank3","Abundances (Normalized): F4: 129N, Sample, QC, 41350, Shank3","Abundances (Normalized): F4: 131C, Sample, QC, 41351, Shank3","Abundances (Normalized): F1: 127N, Sample, WT, 36471, Syngap1","Abundances (Normalized): F1: 128N, Sample, WT, 36472, Syngap1","Abundances (Normalized): F1: 129C, Sample, WT, 36474, Syngap1","Abundances (Normalized): F1: 130C, Sample, WT, 36477, Syngap1","Abundances (Normalized): F2: 127N, Sample, WT, 38812, Ube3a","Abundances (Normalized): F2: 128N, Sample, WT, 38813, Ube3a","Abundances (Normalized): F2: 129C, Sample, WT, 38816, Ube3a","Abundances (Normalized): F2: 130C, Sample, WT, 38817, Ube3a","Abundances (Normalized): F3: 127N, Sample, WT, 38804, Shank2","Abundances (Normalized): F3: 128N, Sample, WT, 38805, Shank2","Abundances (Normalized): F3: 129C, Sample, WT, 38806, Shank2","Abundances (Normalized): F3: 130C, Sample, WT, 38810, Shank2","Abundances (Normalized): F4: 127N, Sample, WT, 41333, Shank3","Abundances (Normalized): F4: 128N, Sample, WT, 41334, Shank3","Abundances (Normalized): F4: 129C, Sample, WT, 41339, Shank3","Abundances (Normalized): F4: 130C, Sample, WT, 41340, Shank3","Abundances (Normalized): F1: 127C, Sample, HET, 36470, Syngap1","Abundances (Normalized): F1: 128C, Sample, HET, 36473, Syngap1","Abundances (Normalized): F1: 130N, Sample, HET, 36475, Syngap1","Abundances (Normalized): F1: 131N, Sample, HET, 36476, Syngap1","Abundances (Normalized): F2: 127C, Sample, KO, 38814, Ube3a","Abundances (Normalized): F2: 128C, Sample, KO, 38815, Ube3a","Abundances (Normalized): F2: 130N, Sample, KO, 38818, Ube3a","Abundances (Normalized): F2: 131N, Sample, KO, 38819, Ube3a","Abundances (Normalized): F3: 127C, Sample, KO, 38807, Shank2","Abundances (Normalized): F3: 128C, Sample, KO, 38808, Shank2","Abundances (Normalized): F3: 130N, Sample, KO, 38809, Shank2","Abundances (Normalized): F3: 131N, Sample, KO, 38811, Shank2","Abundances (Normalized): F4: 127C, Sample, KO, 41335, Shank3","Abundances (Normalized): F4: 128C, Sample, KO, 41336, Shank3","Abundances (Normalized): F4: 130N, Sample, KO, 41337, Shank3","Abundances (Normalized): F4: 131N, Sample, KO, 41338, Shank3"
High,Master Protein,Q9QXS1,Plectin OS=Mus musculus OX=10090 GN=Plec PE=1 SV=3,274,832,1,60047844.25,63591561.93,61961763.41,31922221.24,36108492.39,23922260.95,26233972.2,24978561.4,26123604.37,23384370.35,36640170.53,30715556.02,23861314.22,47093792.43,42775018.72,39626827.94,22658579.53,28643664.26,32909948.81,32350444.84,31596927.06,35546292.75,30782733.01,27781162.75,39184399.23,23975976.63,30479431.42,40415726.45,43521402.16,32129045.35,27154785.08,32446298.38,27975796.03,22898122.95,30196594.71,32107267.76,25786622.18,27241394.92,32119646.97,28892168.06,24580293.12,32373409.64,26382271.16,28443067.15,62055797.54,63591561.93,63112042.58,51794539.07,43637435.75,52538618.76,47341790.77,48598568.44,48768319.95,48517418.25,50274141.31,49742451.32,49949512.51,63313581.17,76829580.74,58760345.21,42090636.28,51463844.15,53419677.61,52687484.09,65381994.02,52562226.8,47723089.62,50787539.92,60976154.33,55371988.28,55985590,50880274.76,57356678.42,45943266.88,58918758.7,66164128.8,52781053.31,51205814.88,54155300.9,52412952.6,54579781.73,49079780.89,56459908.19,53094457.71,58107631.49,68005117.86,59982760.53,60662278.01
High,Master Protein,Q9JHU4,Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus OX=10090 GN=Dync1h1 PE=1 SV=2,245,808,0,99120643.08,99340415.06,101012443.5,57760322.68,68812049.4,43250365.82,54696767.83,51418042.64,52721373.11,36725887.82,55026507.37,46985819.59,47700061.46,75716552.19,55880975.27,77276100.92,55893081.46,59378980.57,62244982.25,63446107.33,51119089.1,74013534.91,69979261.5,57066060.99,50823368.71,37731735.38,42536415.32,60244187.01,78454225.18,75823253.09,48285740.73,53946975.94,51598603.75,43949301.57,58171143.91,62967015.47,50699723.68,60435846.13,61232833.78,58773662.9,36260721.28,39579704.69,35189543.63,37820541.5,102435160.4,99340415.06,102887672.8,93717453.65,83159976.66,94987446.44,98705713.3,100039518.9,98421824.01,76198128.63,75502116.05,76091406.01,99851784.97,101794436.7,100369608.9,114588287.9,103827133.5,106685743,101036525.6,103331369.5,105778260.4,109443655.2,108490255.5,104324101.8,79087944.06,87140609.18,78132241.89,75842773.53,103394503.4,108424259.6,104767388.1,110008070,97349460.66,98281409.57,104325531.8,102789412.7,107310675.8,108884956,107635061.4,108006978,85720077.44,83143002.61,80006984.84,80662194.1
High,Master Protein,P16546,"Spectrin alpha chain, non-erythrocytic 1 OS=Mus musculus OX=10090 GN=Sptan1 PE=1 SV=4",241,1157,0,179029151.4,175444792.7,170262033.9,125322277.9,132187394.1,96284314.85,124964902.9,119490157,120463453.3,101734472.3,152876661.1,128524790.7,87128550.84,156378869.4,138633241.7,131315148.7,105031923.3,121574103.1,134709879.7,138495578.5,148739853.2,175354383.6,168191460.2,144813414.6,114457213.3,72289582.83,102892524.5,140693274.1,145054173.7,113568226,97237933.39,99580478.26,127262678.2,103979907.8,133281911.7,136816691.4,130525780.9,137843438.2,165273668.2,159619715,68662783.08,98653670.36,90297450.22,95520414.58,185015747.3,175444792.7,173422836,203338281.8,159749647.1,211461823,225511494.9,232481386,224884749.8,211076623.8,209762748.1,208140075.4,182388472,210238032.1,249003604.3,194719685.3,195107573.9,218431225.8,218662094.7,225560533.3,307780189.4,259296150.7,260750601,264737554.1,178110698.1,166951194.3,188996264.8,177121954.1,191166304,162398081.2,210980802,203063397.6,240102486.9,232524557.7,239030993.6,223344035.8,276269942.8,248347258.5,290518016.6,293329396.1,162318312.3,207236573.3,205300381.5,203722260.9
High,Master Protein,Q62261,"Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus OX=10090 GN=Sptbn1 PE=1 SV=2",189,869,8,169344357.6,176714483.9,164864307.8,107757617.6,119974639.6,81547261.79,100730488.8,93025975.39,96986454.27,95371871.18,148232280,123357768.1,76848925.16,142577463.3,117230538.6,127431019.5,93949923.57,105593734.1,121357041.3,124059819.1,117798383.7,146005490.1,133995021.2,112724533.6,125934040.2,80918609.06,110630398.4,144432394.1,128129292.2,107362270.2,85353256.78,98527363.19,110042331.4,91933789.84,120085216.8,123014938.1,106242662.1,118318671.3,136103521.6,126360331.6,82252581.67,106248885.1,95814471.04,100921814.1,175007101.4,176714483.9,167924904.7,174839216,144990424.2,179095968.7,181778103.9,180992378.2,181057191.2,197875627.8,203390172.1,199772316.4,160869863,191683220.4,210561524,188960133.5,174521622.4,189719423.6,196987666.6,202049763.9,243754501.9,215898004.9,207735174.3,206074951,195970172.3,186879739.7,203209437.9,181829217,168861071.7,153523809.4,185194172.1,200915897.1,207613401,205586485.6,215363722.8,200813602.9,224872465.5,213170231.6,239242739.4,232209409.5,194444495.9,223191441.3,217843886,215242157.6
High,Master Protein,O88737,Protein bassoon OS=Mus musculus OX=10090 GN=Bsn PE=1 SV=4,188,721,5,78821283.39,80000895.74,78730012.34,38907948.1,99094331.54,29549335.3,35051621.78,33470233.89,35233095.11,32631116.11,51587933.62,43182585.33,39057378.58,66935797.22,50825917.63,60150364.53,37179011.75,41573820.61,64865814.32,50156592.81,33591998.67,42759467.95,38926068.25,34676317.11,54934050.42,37010787.69,44099371.74,58724112.85,60066487.1,52099596.95,38105654.85,43570103.7,47311533.53,40754021.49,43586839.26,48459658.82,31230399.69,36087538.91,39359895.69,38407211.99,39681452.05,43973652.17,39129199.86,45282219.14,81457005.9,80000895.74,80191582.97,63129041.76,119756385.3,64896928.64,63254109.3,65120061.42,65774187.61,67702379.17,70784033.68,69932240.44,81759831.08,89989461.7,91290058.05,89193517.83,69063828.95,74695353.41,105290680,81687429.61,69510299.29,63228333.49,60347865.91,63392769.24,85484713.38,85475596.42,81003130.01,73929117.68,79161378.4,74500367.55,82679272.78,88847668.2,89261180.29,91135980.22,78169688.29,79107129.87,66102042.64,65017540.7,69186815.74,70580030.15,93806659.73,92373136.85,88964191.54,96576172.76
High,Master Protein,Q9QYX7,Protein piccolo OS=Mus musculus OX=10090 GN=Pclo PE=1 SV=4,181,546,0,41993921.53,41686590.3,43584994.87,26031418.68,50062868.73,19851186.22,19108352.35,18666958.93,18761502.51,18990513.54,31697208.53,25990277.86,18703116.84,28138029.34,26159775.91,30216416.2,24877846.51,28025904.64,39611703.96,32874305.47,18632627.66,24180043.05,23509586.27,20422355.32,29407537.36,21023021.48,25330964.8,34840755.03,26811019.17,27192568.7,18744273.94,21347776.66,32607862.9,27147126.79,31778810.89,34078873.96,17112170.97,21398201.9,22489052.2,21371224.33,23157791.6,24975408.56,22136302.59,25658431.17,43398165.66,41686590.3,44394121.49,42236576.26,60501424.26,43597630.97,34482906.83,36318644.08,35024529.7,39401133.08,43491881.12,42090077.43,39151723.17,37829176.89,46986411.12,44806186.6,46213152.39,50353920.35,64298017.22,53540668.6,38555595.86,35754977.76,36447384.07,37334693.13,45762052.55,48552203.6,46528722.6,43861816.78,35334132.83,38884300.1,40670156.29,43532147.42,61520227.99,60707628.83,56992885.54,55631466.96,36219499.78,38552323.19,39531250.87,39273396.31,54744848.39,52464526.34,50329121.76,54723313.66
High,Master Protein,Q8C8R3,Ankyrin-2 OS=Mus musculus OX=10090 GN=Ank2 PE=1 SV=2,177,745,19,79536538.94,88415318.61,84062681.11,72584008.11,81548006.86,54948553.48,55416328.75,52826541.82,55686139.88,43409963.42,67754612.63,57754391.8,39395994.07,69409267.11,49903599.69,69740139.75,70189437.98,76090812.51,85242195.33,89209825.41,61428745.76,82180287.44,72792089.11,63250088.86,68601507.18,44431738.96,58713770.82,70617389.25,61704361.18,57554320.78,41580242.47,51595870.25,77847331.56,62758240.28,83960241.63,87371961.19,60822002.15,68642772.75,79134674.07,71148912.58,51818759.69,55217576.47,51559293.07,56632914.16,82196179.05,88415318.61,85623249.2,117769224.6,98551495.08,120679274.8,100004232,102779910.6,103956538.6,90066113.38,92966406.01,93530620.81,82468663.74,93314830.69,89633453.28,103413644.2,130384082.6,136711758.7,138365775.7,145291394.9,127111534.6,121519814.7,112851038.7,115629300.4,106753100,102614119.4,107847323.5,88901833.12,81319925.97,82300407.35,90218216.24,105213721.6,146872108.7,140342806.3,150576321.4,142628843.2,128735418.7,123671062.3,139102912.2,130748683.3,122499165.4,115992656.9,117225265.1,120784497.9
High,Master Protein,Q9QXZ0,Microtubule-actin cross-linking factor 1 OS=Mus musculus OX=10090 GN=Macf1 PE=1 SV=2,150,329,3,10500667.8,11237098.12,11136329.71,6276606.024,8433578.53,4732870.61,5357909.466,5203068.801,5341354.478,4962437.114,7449867.25,6419048.24,5028642.806,8862232.035,6956955.339,8122777.295,5496217.918,6175856.246,7095985.639,7116076.522,5907109.67,7658571.833,6724442.202,5835073.643,7497839.757,5198478.121,6229940.503,8330303.771,8529043.351,7413222.335,5545940.808,6653905.45,6209709.49,5281771.286,6728277.965,7398079.383,5372447.662,6159767.397,6715514.076,6281683.998,5338918.578,6390337.313,5052910.322,5639082.072,10851801.98,11237098.12,11343068.31,10183937.81,10192055.02,10394439.1,9668876.181,10123148.86,9971399.062,10295964.07,10221996.06,10395357.79,10526589.38,11914513.96,12495610.24,12044799.51,10209788.7,11096111.88,11518257.52,11589583.09,12223296.54,11324713.73,10425037.89,10667265.38,11667639.24,12005770.36,11443353.06,10487208.37,11240391.45,10600615.38,12033236.4,13568569.58,11715663.33,11811335.07,12066655.9,12076866.42,11371284.64,11097817.68,11804529.13,11543702.94,12621164.11,13423845.28,11488302.43,12026817.03
High,Master Protein,Q68FD5,Clathrin heavy chain 1 OS=Mus musculus OX=10090 GN=Cltc PE=1 SV=3,130,1229,0,234043259.7,251224532.3,241113625.1,172633711.1,178176700,125090912.6,163457390.3,147851358.7,157965125.6,128447573.6,189429595.9,164463656.1,111295800.5,173811676.8,134822443,177580364.6,160667585.9,166128544.8,171157377.9,170205025.8,146650855.7,208147929.1,197713174.5,161577324.2,174218200.8,120974822.6,141473128.7,191066608.6,169085973,172282704.1,112078310.6,127225584.7,147797420.9,128762501.4,160828724.5,182032120.6,145640627.3,163788455.7,168468566.5,168520115.2,118484096.6,119612864.5,118708446.9,126445747,241869484.6,251224532.3,245589740.1,280102171.8,215328134.3,274727534.4,294974985.5,287661257.1,294893984.7,266500425.5,259917192.9,266341439.6,232978407.2,233674952.4,242158906.7,263323714.5,298456525.5,298481837.5,277823949.3,277204058,303457527.8,307787896.1,306518707.9,295384137.7,271106769.8,279388679.8,259862346.8,240538087.5,222837714.3,246357467.8,243180526.7,259436989.5,278844739.3,287944510.7,288434111.6,297155179.3,308261919.4,295091405.6,296134008.1,309685452.1,280095529.8,251264449.4,269895654.6,269678618.7
High,Master Protein,Q8BPN8,DmX-like protein 2 OS=Mus musculus OX=10090 GN=Dmxl2 PE=1 SV=3,113,332,4,35451635.76,39428858.3,36326912.59,22320789.66,24626932.29,17165973.91,23459742.5,22596604.41,23282295,11933264.37,17754563.23,15544515.82,18555224.96,27849109.48,20684729.42,28747853.76,21973986.86,21413871.25,23437394.11,22763067.92,21155570.09,32116268.66,29832246.34,23877547.66,18799086.47,13493217.38,15749873.04,21487576.32,27015188.75,27315619.01,18199295.46,21002284.8,19175435.34,17916935.52,21307698.84,24539276.57,20234032.54,23444010,23223428.41,23149104.91,13666041.56,13426295.73,12597543.67,13253365.35,36637110.93,39428858.3,37001297.7,36215995.22,29761867.76,37700306.03,42335419.6,43964206.28,43464079.28,24758895.36,24361115.35,25173639.09,38842137.22,37440748.82,37152504.82,42628539.78,40818935.15,38474132.45,38043755.23,37073022.78,43776198.69,47490257.54,46249531.05,43651229.28,29253887.28,31162287.4,28929868.22,27051197.23,35603207.09,39060257.18,39487695.98,42827624.29,36177689.95,40066658.98,38213740.78,40058716.58,42827209.86,42238177.51,40822137.22,42540565.63,32306421.37,28203912.83,28641789.04,28266267.11
