UniqueID,b1.126,b1.127N,b1.127C,b1.128N,b1.128C,b1.129N,b1.129C,b1.130N,b1.130C,b1.131N,b1.131C,b2.126,b2.127N,b2.127C,b2.128N,b2.128C,b2.129N,b2.129C,b2.130N,b2.130C,b2.131N,b2.131C,b3.126,b3.127N,b3.127C,b3.128N,b3.128C,b3.129N,b3.129C,b3.130N,b3.130C,b3.131N,b3.131C,b4.126,b4.127N,b4.127C,b4.128N,b4.128C,b4.129N,b4.129C,b4.130N,b4.130C,b4.131N,b4.131C
Plec|Q9QXS1,62055797.54,49949512.51,57356678.42,63313581.17,45943266.88,63591561.93,76829580.74,58918758.7,58760345.21,66164128.8,63112042.58,51794539.07,42090636.28,52781053.31,51463844.15,51205814.88,43637435.75,53419677.61,54155300.9,52687484.09,52412952.6,52538618.76,47341790.77,65381994.02,54579781.73,52562226.8,49079780.89,48598568.44,47723089.62,56459908.19,50787539.92,53094457.71,48768319.95,48517418.25,60976154.33,58107631.49,55371988.28,68005117.86,50274141.31,55985590,59982760.53,50880274.76,60662278.01,49742451.32
Dync1h1|Q9JHU4,102435160.4,99851784.97,103394503.4,101794436.7,108424259.6,99340415.06,100369608.9,104767388.1,114588287.9,110008070,102887672.8,93717453.65,103827133.5,97349460.66,106685743,98281409.57,83159976.66,101036525.6,104325531.8,103331369.5,102789412.7,94987446.44,98705713.3,105778260.4,107310675.8,109443655.2,108884956,100039518.9,108490255.5,107635061.4,104324101.8,108006978,98421824.01,76198128.63,79087944.06,85720077.44,87140609.18,83143002.61,75502116.05,78132241.89,80006984.84,75842773.53,80662194.1,76091406.01
Sptan1|P16546,185015747.3,182388472,191166304,210238032.1,162398081.2,175444792.7,249003604.3,210980802,194719685.3,203063397.6,173422836,203338281.8,195107573.9,240102486.9,218431225.8,232524557.7,159749647.1,218662094.7,239030993.6,225560533.3,223344035.8,211461823,225511494.9,307780189.4,276269942.8,259296150.7,248347258.5,232481386,260750601,290518016.6,264737554.1,293329396.1,224884749.8,211076623.8,178110698.1,162318312.3,166951194.3,207236573.3,209762748.1,188996264.8,205300381.5,177121954.1,203722260.9,208140075.4
Sptbn1|Q62261,175007101.4,160869863,168861071.7,191683220.4,153523809.4,176714483.9,210561524,185194172.1,188960133.5,200915897.1,167924904.7,174839216,174521622.4,207613401,189719423.6,205586485.6,144990424.2,196987666.6,215363722.8,202049763.9,200813602.9,179095968.7,181778103.9,243754501.9,224872465.5,215898004.9,213170231.6,180992378.2,207735174.3,239242739.4,206074951,232209409.5,181057191.2,197875627.8,195970172.3,194444495.9,186879739.7,223191441.3,203390172.1,203209437.9,217843886,181829217,215242157.6,199772316.4
Bsn|O88737,81457005.9,81759831.08,79161378.4,89989461.7,74500367.55,80000895.74,91290058.05,82679272.78,89193517.83,88847668.2,80191582.97,63129041.76,69063828.95,89261180.29,74695353.41,91135980.22,119756385.3,105290680,78169688.29,81687429.61,79107129.87,64896928.64,63254109.3,69510299.29,66102042.64,63228333.49,65017540.7,65120061.42,60347865.91,69186815.74,63392769.24,70580030.15,65774187.61,67702379.17,85484713.38,93806659.73,85475596.42,92373136.85,70784033.68,81003130.01,88964191.54,73929117.68,96576172.76,69932240.44
Pclo|Q9QYX7,43398165.66,39151723.17,35334132.83,37829176.89,38884300.1,41686590.3,46986411.12,40670156.29,44806186.6,43532147.42,44394121.49,42236576.26,46213152.39,61520227.99,50353920.35,60707628.83,60501424.26,64298017.22,56992885.54,53540668.6,55631466.96,43597630.97,34482906.83,38555595.86,36219499.78,35754977.76,38552323.19,36318644.08,36447384.07,39531250.87,37334693.13,39273396.31,35024529.7,39401133.08,45762052.55,54744848.39,48552203.6,52464526.34,43491881.12,46528722.6,50329121.76,43861816.78,54723313.66,42090077.43
Ank2|Q8C8R3,82196179.05,82468663.74,81319925.97,93314830.69,82300407.35,88415318.61,89633453.28,90218216.24,103413644.2,105213721.6,85623249.2,117769224.6,130384082.6,146872108.7,136711758.7,140342806.3,98551495.08,138365775.7,150576321.4,145291394.9,142628843.2,120679274.8,100004232,127111534.6,128735418.7,121519814.7,123671062.3,102779910.6,112851038.7,139102912.2,115629300.4,130748683.3,103956538.6,90066113.38,106753100,122499165.4,102614119.4,115992656.9,92966406.01,107847323.5,117225265.1,88901833.12,120784497.9,93530620.81
Macf1|Q9QXZ0,10851801.98,10526589.38,11240391.45,11914513.96,10600615.38,11237098.12,12495610.24,12033236.4,12044799.51,13568569.58,11343068.31,10183937.81,10209788.7,11715663.33,11096111.88,11811335.07,10192055.02,11518257.52,12066655.9,11589583.09,12076866.42,10394439.1,9668876.181,12223296.54,11371284.64,11324713.73,11097817.68,10123148.86,10425037.89,11804529.13,10667265.38,11543702.94,9971399.062,10295964.07,11667639.24,12621164.11,12005770.36,13423845.28,10221996.06,11443353.06,11488302.43,10487208.37,12026817.03,10395357.79
Cltc|Q68FD5,241869484.6,232978407.2,222837714.3,233674952.4,246357467.8,251224532.3,242158906.7,243180526.7,263323714.5,259436989.5,245589740.1,280102171.8,298456525.5,278844739.3,298481837.5,287944510.7,215328134.3,277823949.3,288434111.6,277204058,297155179.3,274727534.4,294974985.5,303457527.8,308261919.4,307787896.1,295091405.6,287661257.1,306518707.9,296134008.1,295384137.7,309685452.1,294893984.7,266500425.5,271106769.8,280095529.8,279388679.8,251264449.4,259917192.9,259862346.8,269895654.6,240538087.5,269678618.7,266341439.6
Dmxl2|Q8BPN8,36637110.93,38842137.22,35603207.09,37440748.82,39060257.18,39428858.3,37152504.82,39487695.98,42628539.78,42827624.29,37001297.7,36215995.22,40818935.15,36177689.95,38474132.45,40066658.98,29761867.76,38043755.23,38213740.78,37073022.78,40058716.58,37700306.03,42335419.6,43776198.69,42827209.86,47490257.54,42238177.51,43964206.28,46249531.05,40822137.22,43651229.28,42540565.63,43464079.28,24758895.36,29253887.28,32306421.37,31162287.4,28203912.83,24361115.35,28929868.22,28641789.04,27051197.23,28266267.11,25173639.09
