UniqueID,b1.126,b1.127N,b1.127C,b1.128N,b1.128C,b1.129N,b1.129C,b1.130N,b1.130C,b1.131N,b1.131C,b2.126,b2.127N,b2.127C,b2.128N,b2.128C,b2.129N,b2.129C,b2.130N,b2.130C,b2.131N,b2.131C,b3.126,b3.127N,b3.127C,b3.128N,b3.128C,b3.129N,b3.129C,b3.130N,b3.130C,b3.131N,b3.131C,b4.126,b4.127N,b4.127C,b4.128N,b4.128C,b4.129N,b4.129C,b4.130N,b4.130C,b4.131N,b4.131C
43526|Q922Q1,7733518.837,5233890.493,6310594.042,6306698.066,5409341.038,7510750.145,7122207.062,6248219.343,7813192.913,8157447.283,7670986.849,16505727.4,15283813.88,15899344.92,17887226.72,16708359.5,16212167.15,16938623.67,19146973.04,20449902.59,15962244.04,17019905.96,9444895.845,9069278.169,8299158.445,8805724.719,8344950.563,10052104.68,7875664.863,7990219.014,7903008.164,9377873.486,9999484.649,18822458.69,14314607.67,13589206.26,15885430.31,14865674.58,18773395.64,19023017.12,15990437.42,17839916.76,14961530.64,18594607.3
43529|Q3KNM2,407025.3766,333079.7389,352975.2282,385633.1777,430035.5556,407874.9237,491997.1611,395238.5572,535646.7587,526872.7532,395807.4021,351863.9935,404257.3188,402476.0294,390691.1904,449107.3306,402030.9332,436596.635,476499.4798,526669.521,457849.5747,373363.4224,394075.2182,458589.3151,437386.2477,530540.8467,423573.1673,434387.7805,368322.0323,392151.4575,398400.9756,458142.8533,405033.0943,627186.155,509958.9909,663894.5367,688506.1104,667754.3806,661443.8726,712985.9753,855993.5973,689134.7394,730753.5829,475345.5733
43710|P42208,3053718.702,3576540.262,3329363.021,3491090.308,4194310.79,3239417.038,3577757.717,3653169.647,3551919.722,3701526.481,3186142.789,4418303.594,4796752.178,4680325.153,3983263.407,4608738.278,4743107.928,4177234.094,4490269.783,4975405.463,4421042.378,4761238.103,11184374.1,12115449.05,12548934.55,11141610.58,12236274.39,11319270.28,11547920.04,11835660.67,12003281.18,11778019.22,11205045.41,5841436.245,6364065.935,5946024.834,6694760.931,6528235.372,5971123.2,6195173.683,5727717.863,6434270.702,6745129.857,5834626.727
43711|Q9Z1S5,24269833.87,25593569.97,25660503.4,24841612.3,24434977.47,24013291.11,26795672.19,22980985.19,24605003.11,22944340.97,23478598.89,29012184.75,31591829.2,31293151.97,31391677.11,33719961.04,28603808.59,35844429.12,29914197.15,31479595.7,29018713.02,28696718.73,30802951.64,33227944.09,33916743.61,33689561.85,36118902.86,31242809.49,32573931.96,33705591.86,32011628.23,35758358.86,29723822.49,25375792.36,25235071.97,30562715.72,27218097.93,25833395.91,25546002.14,27187639.38,27927261.74,29095443.5,30219561.61,25385585.6
43712|P28661,2726606.746,3102567.016,2947545.33,2919503.396,4602209.227,2743217.763,3693302.705,2970561.315,2711629.684,2918027.377,2800095.608,1106273.569,1195283.875,1381115.221,1578910.34,1365294.086,1150652.798,1380267.874,1301227.754,1292846.521,1312520.108,1183507.734,936019.1312,996468.0416,1247668.367,1055340.666,1007739.174,1050485.872,1013073.68,1012947.355,911431.5759,1096356.178,977769.3765,2289497.392,2930565.592,3327166.955,2660644.459,3244822.342,2242020.639,3003202.796,2624520.824,2923677.751,2982600.044,2289135.177
43713|Q9Z2Q6,81373291.96,101373336.1,95264726.92,93578364.98,100922113,81139697.96,96269001.17,90312079.05,88367800.73,84653733.33,78498442.57,85191105.83,91319442.86,92877771.4,85170050.01,90259671.48,83543490.88,93095875.03,91211931.86,92067065.92,88466672.77,82324029.18,56776066.19,60505251.99,59754627.23,52677287.96,55803001.97,55764555.75,58523556.23,57114012.84,63152241.73,66265745.99,55822241.23,46626319.89,48831105.31,52990135.86,55447698.22,52346928.65,44868423.75,50763562.6,48647044.12,52527482.09,54857618.78,47674563.29
43714|Q9R1T4,11601487.51,14112650.3,12732146.04,12882722.36,15480644.14,11560333.85,13556876.38,11105831.16,11488055.52,10437056.74,11466622.17,23388744.65,26246706.95,27713050.62,29400140.4,25065290.46,23183417.36,28229604.44,25462909.52,25822759.54,26288593.61,22411128.99,11959365.86,11777022.12,13244501.4,11581667.54,10564661.48,11151735.6,11997923.34,11631768.52,12674628.95,13096767.01,11627530.31,19278988.37,19845629.82,22735643.95,21947785.06,22867401.25,19364215.14,19705011.35,20073270.07,20382475.69,20682703.72,19061809.66
43715|O55131,77952037.69,86048854.84,80792765.75,76532122.94,75745399.49,71807709.79,81753029.75,73552803.34,85563988.05,86708554.06,72626169.43,58365504.33,60211720.78,60977322.8,57754535.63,59853689.8,56864754.53,60499115.8,60454260.6,63558724.89,59638632.57,56995433.04,70838662.09,78559031.9,76109044.78,74303959.7,71415114.35,72786168.89,74425631.23,73355333.54,78762064.75,78876925.33,68030118.89,74211342.08,61525558.89,76646076.74,79886504.96,61708709.43,71666124.87,73976366.76,72985191.5,74951953.87,76043406.83,71172121.76
43716|Q8CHH9,7010164.852,8928671.145,8393613.295,7808133.846,9166632.774,7058186.752,9444298.39,8180406.851,9647789.454,9702498.589,7122401.58,10023276.55,12067317.94,11856142.27,11594562.08,12711884.81,10203971.37,11887589.4,12310299.47,13419772.1,11672109.36,10576081.2,7577369.542,7268990.609,7508477.998,7055719.344,7554196.114,6608336.921,7145828.874,7035871.119,7446721.01,8031140.708,7414434.201,11087564.43,11524008.46,11486834.54,13506587.26,12580756.49,10953215.81,12748750.98,12580453.01,13524852.97,14089076.03,11306854.09
43717|Q80UG5,10126131.79,12435829.82,10944159.24,10196585.73,10630911.51,10075513.7,10536465.61,10755135.69,11481608.12,12153837.52,10175155.59,9209576.379,10836763.85,10597151.74,10089689.57,11272108.48,9348386.071,10857046.85,11029080.92,11223370.75,10706377.77,9568380.666,12113826.1,13197912.58,12365428.56,11420301.88,13337367.1,12173065.23,11076999.54,12311924.73,13241075.33,13882573.12,11985211.9,7681922.16,7766430.336,8350014.729,7942609.999,8438991.109,7732202.528,8930575.801,8223885.472,9042163.694,9404797.239,7504396.354
