SampleID,ColumnName,SampleType,AnimalID,Model,Color,Sample.Model,Sex,Age,PrepDate,Order
b1.126,"Abundance: F4: 126, Sample, SPQC, 38910, Shank2",QC,38910,Shank2,darkslateblue,QC.Shank2,NA,NA,NA,1
b1.129N,"Abundance: F4: 129N, Sample, SPQC, 38911, Shank2",QC,38911,Shank2,darkslateblue,QC.Shank2,NA,NA,NA,2
b1.131C,"Abundance: F4: 131C, Sample, SPQC, 38912, Shank2",QC,38912,Shank2,darkslateblue,QC.Shank2,NA,NA,NA,3
b1.127N,"Abundance: F4: 127N, Sample, WT, 38902, Shank2",WT,38902,Shank2,turquoise,WT.Shank2,F,54,43271,4
b1.128N,"Abundance: F4: 128N, Sample, WT, 38903, Shank2",WT,38903,Shank2,turquoise,WT.Shank2,F,54,43271,5
b1.129C,"Abundance: F4: 129C, Sample, WT, 38908, Shank2",WT,38908,Shank2,turquoise,WT.Shank2,M,58,43271,6
b1.130C,"Abundance: F4: 130C, Sample, WT, 42373, Shank2",WT,42373,Shank2,turquoise,WT.Shank2,F,58,43410,7
b1.127C,"Abundance: F4: 127C, Sample, KO, 38905, Shank2",KO,38905,Shank2,darkorange,KO.Shank2,F,58,43271,8
b1.128C,"Abundance: F4: 128C, Sample, KO, 38907, Shank2",KO,38907,Shank2,darkorange,KO.Shank2,F,54,43271,9
b1.130N,"Abundance: F4: 130N, Sample, KO, 38909, Shank2",KO,38909,Shank2,darkorange,KO.Shank2,F,54,43271,10
b1.131N,"Abundance: F4: 131N, Sample, KO, 42372, Shank2",KO,42372,Shank2,darkorange,KO.Shank2,F,58,43410,11
b2.126,"Abundance: F3: 126, Sample, SPQC, 41352, Shank3",QC,41352,Shank3,darkslateblue,QC.Shank3,NA,NA,NA,12
b2.129N,"Abundance: F3: 129N, Sample, SPQC, 41353, Shank3",QC,41353,Shank3,darkslateblue,QC.Shank3,NA,NA,NA,13
b2.131C,"Abundance: F3: 131C, Sample, SPQC, 41354, Shank3",QC,41354,Shank3,darkslateblue,QC.Shank3,NA,NA,NA,14
b2.127N,"Abundance: F3: 127N, Sample, WT, 41341, Shank3",WT,41341,Shank3,turquoise,WT.Shank3,F,63,43376,15
b2.128N,"Abundance: F3: 128N, Sample, WT, 41342, Shank3",WT,41342,Shank3,turquoise,WT.Shank3,F,63,43376,16
b2.129C,"Abundance: F3: 129C, Sample, WT, 41347, Shank3",WT,41347,Shank3,turquoise,WT.Shank3,M,52,43376,17
b2.130C,"Abundance: F3: 130C, Sample, WT, 41348, Shank3",WT,41348,Shank3,turquoise,WT.Shank3,M,52,43376,18
b2.127C,"Abundance: F3: 127C, Sample, KO, 41343, Shank3",KO,41343,Shank3,goldenrod,KO.Shank3,F,53,43376,19
b2.128C,"Abundance: F3: 128C, Sample, KO, 41344, Shank3",KO,41344,Shank3,goldenrod,KO.Shank3,F,53,43376,20
