sbeNode,moduleid
Actr2,626
Cttn,44
Arpc5,626
Actr3,626
Arpc4,626
Vcam1,3
Gja1,60
Cct3,118
Cct2,43
Flot1,0
Snca,676
Sh3gl1,626
Sh3glb1,626
Calr,0
Stxbp1,197
Arpc2,626
Tnik,35
Ppp1cb,678
Grb2,0
Capza2,44
Actb,7
Ywhab,0
Ywhae,0
Ywhaz,0
Myo6,162
Wasf1,709
Egfr,0
Xpo1,0
Psmc3,130
Dbn1,44
Cct5,43
Tcp1,43
Capza1,0
Gsn,189
Tpm1,696
Clta,640
Cct7,43
Cct4,43
Coro1a,325
Psmd7,130
Myh10,44
Prkaa1,7
Cfl1,79
Ube2n,135
Cul3,7
Arpc3,626
Arpc1a,626
Gspt1,0
Ogt,190
Rtn1,146
Grpel1,528
Coro1b,44
Myh9,44
Hsd17b10,11
Cct8,43
Cct6a,43
Calu,626
Ruvbl1,72
Tpd52l2,626
Hspbp1,190
Fam98b,290
Ttll12,408
Ppp1r12a,44
Ppme1,190
Cltb,640
Basp1,0
Efhd2,626
Actr3b,626
Arpc5l,626
Coro1c,44
Nif3l1,626
Myo18a,44
Specc1,44
Cep170,0
Prkacb,179
Pank4,626
Actc1,0
2510003E04Rik,626
Alad,626
Synpo,44
Rdx,199
Hip1r,17
Ctnna1,0
Dnm1,129
Dnm2,129
Pak1,167
Flot2,133
Mbp,0
Src,0
Abl2,0
Bcar1,0
Ctnnd1,30
Rps27a,31
Thy1,567
Grin2b,16
Grin1,35
Cdc37,49
Npm1,703
Ptk2,136
Tjp1,126
Asap1,499
Atp6v1c1,347
Atg7,455
Pak2,0
Ctnnd2,568
Hdac6,118
Srcin1,0
Wasl,631
Abi1,709
Cops7a,707
Uso1,144
Arrb1,52
Mycbp2,78
Snx1,341
Kcna2,550
Yes1,0
Hax1,80
Kcnma1,22
Vta1,494
Nck1,654
Mapk1,0
Shank2,654
Ide,201
Cttnbp2,43
Gars,10
Oxct1,98
Rpl9,31
Suclg2,0
Pdha1,29
Syncrip,7
Sars,513
Snx2,341
Shmt2,227
Pgls,682
Apeh,437
Pdk2,613
Me1,543
Exoc8,0
Wash,341
Prkaca,0
Capzb,44
Eif3h,127
Zwint,440
Tuba4a,118
Vps13a,0
Abce1,0
Vps13c,604
Lasp1,0
Mapk3,13
Wasf3,709
Atp1a1,62
Vcl,126
Ube3a,110
Atp1b1,246
Cat,173
Uggt1,2
Tnpo3,0
Ppp2ca,43
Cyfip1,35
Dlg4,0
Pfn2,261
Eif3k,127
Pdia6,0
Vbp1,661
Acvr1b,559
Pak3,559
Camkk1,398
