Var1,V
Actr2,1
Cttn,1
Arpc5,1
Actr3,1
Arpc4,1
Vcam1,2
Gja1,1
Cct3,3
Cct2,3
Flot1,4
Snca,4
Sh3gl1,1
Sh3glb1,5
Calr,5
Stxbp1,1
Arpc2,1
Tnik,1
Ppp1cb,1
Grb2,1
Capza2,1
Actb,1
Ywhab,1
Ywhae,5
Ywhaz,1
Myo6,1
Wasf1,1
Egfr,3
Xpo1,3
Psmc3,6
Dbn1,1
Cct5,3
Tcp1,3
Capza1,1
Gsn,1
Tpm1,1
Clta,1
Cct7,3
Cct4,3
Coro1a,1
Psmd7,6
Myh10,1
Prkaa1,2
Cfl1,5
Ube2n,5
Cul3,2
Arpc3,1
Arpc1a,1
Gspt1,2
Ogt,3
Rtn1,1
Grpel1,3
Coro1b,1
Myh9,1
Hsd17b10,5
Cct8,3
Cct6a,3
Calu,3
Ruvbl1,3
Tpd52l2,5
Hspbp1,3
Fam98b,2
Ttll12,3
Ppp1r12a,1
Ppme1,5
Cltb,1
Basp1,1
Efhd2,5
Actr3b,3
Arpc5l,1
Coro1c,1
Nif3l1,5
Myo18a,1
Specc1,1
Cep170,1
Prkacb,1
Pank4,1
Actc1,1
2510003E04Rik,1
Alad,5
Synpo,1
Rdx,5
Hip1r,1
Ctnna1,1
Dnm1,1
Dnm2,1
Pak1,1
Flot2,4
Mbp,1
Src,1
Abl2,1
Bcar1,1
Ctnnd1,1
Rps27a,2
Thy1,4
Grin2b,1
Grin1,1
Cdc37,3
Npm1,2
Ptk2,1
Tjp1,1
Asap1,1
Atp6v1c1,4
Atg7,7
Pak2,1
Ctnnd2,1
Hdac6,3
Srcin1,1
Wasl,1
Abi1,1
Cops7a,2
Uso1,1
Arrb1,1
Mycbp2,1
Snx1,7
Kcna2,1
Yes1,1
Hax1,4
Kcnma1,5
Vta1,4
Nck1,1
Mapk1,1
Shank2,1
Ide,4
Cttnbp2,3
Gars,3
Oxct1,5
Rpl9,2
Suclg2,4
Pdha1,4
Syncrip,2
Sars,3
Snx2,7
Shmt2,7
Pgls,5
Apeh,7
Pdk2,5
Me1,5
Exoc8,7
Wash,7
Prkaca,1
Capzb,1
Eif3h,2
Zwint,4
Tuba4a,3
Vps13a,4
Abce1,6
Vps13c,4
Lasp1,1
Mapk3,3
Wasf3,1
Atp1a1,4
Vcl,1
Ube3a,6
Atp1b1,4
Cat,5
Uggt1,3
Tnpo3,3
Ppp2ca,3
Cyfip1,1
Dlg4,1
Pfn2,1
Eif3k,2
Pdia6,5
Vbp1,3
Acvr1b,3
Pak3,1
Camkk1,1
Wdr1,5
Hsp90aa1,3
Hsp90ab1,3
Nedd4l,1
Bag6,3
Smad2,1
Tsnax,5
Os9,3
Fkbp1a,5
Vps16,7
Tmem30a,4
Bmpr2,3
Tsc22d1,4
Nck2,1
Fxr1,1
Git1,1
Hcn1,1
Rac1,1
Arhgef7,1
Syn1,1
Rras,1
Itsn1,1
Ywhah,5
App,5
Calm1,1
Ywhaq,1
Ywhag,1
Dlg1,1
Spag9,1
Camk4,1
Anxa7,5
Nos1,1
Camk1,1
Ddb1,2
Rps10,2
Brinp1,3
Ruvbl2,3
Camk1d,5
Ctbp1,5
Canx,4
Csnk2b,3
Msn,5
Ezr,1
Mapre1,1
Rab4a,4
Eif5a,5
Ldha,5
Rab33b,5
Prdx6,5
Nme2,5
Rab1,4
Thop1,5
Ldhb,5
Nme1,5
Got1,5
Hspe1,5
Adss,5
Tkt,5
Eno2,5
Taldo1,5
Dstn,5
Txn1,5
Cfl2,5
Gmppb,5
Usp7,6
Txndc17,5
Gpi1,5
Rab5c,4
Rab35,4
Ube2k,5
Itpa,5
Ggct,5
Uap1,4
Nagk,5
Rab4b,4
Rab27b,4
Rab21,5
Tsc1,1
Vcp,3
Bcap31,4
Ufd1l,5
Psmb5,6
Ppp1ca,1
Gna13,3
Gdi2,4
Pls3,5
Mapk10,1
Arhgdia,5
Hsph1,3
L1cam,1
P4hb,5
Hspa4,3
Gabra5,1
Rcn1,5
Eef2,2
Clic1,5
Uchl3,5
Akr1b3,5
Stip1,5
Fabp5,5
Acaa2,5
Cpne1,1
Mrpl12,4
Slc9a3r2,1
Slc9a3r1,5
Pgd,5
Ppa1,5
Txnrd2,5
Trappc10,8
Cpne2,1
Vps11,7
Cpne4,2
Hspa8,3
Snd1,2
Kpnb1,3
Tubb5,3
Pfn1,1
Pabpc1,2
Prmt5,2
Emd,4
Scrib,1
Eps15,1
Ap2s1,1
Apoe,3
Arf1,4
Pdcd6ip,5
Rps11,2
Eif2s1,2
Etf1,2
Rps16,2
Rps17,2
Rps13,2
Rps7,2
Rps25,2
Rps9,2
Rps5,2
Rps26,2
Rps28,2
Rpsa,2
Psmc5,6
Diap1,1
Rpl8,2
Phb2,4
Hspa5,3
Pafah1b3,5
Chmp2a,4
Mdh2,5
Psmb6,6
Psma7,6
Psma6,6
Psma3,6
Psma4,6
Psma5,6
Psma1,6
Crkl,1
Pin1,5
Acp1,5
Psmd2,6
Ap2m1,1
Ppp2r1a,3
Ran,3
Rpl10,2
Cacybp,5
Pdcd6,5
Psmb1,6
Hspa1a,3
Gapdh,5
Psmd3,6
Psmd11,6
Arf5,4
Cltc,1
Ptpn11,1
Rps3,2
Vim,1
