sbeNode,moduleid
Actr2,79
Cttn,0
Arpc5,79
Actr3,79
Arpc4,79
Ywhab,0
Vcam1,0
Gja1,0
Cct3,0
Cct2,0
Flot1,28
Sh3gl1,79
Sh3glb1,211
Calr,0
Snca,0
Stxbp1,0
Grb2,0
Arpc2,79
Tnik,5
Ppp1cb,289
Capza2,28
Actb,0
Ywhae,0
Ywhaz,0
Myo6,0
Wasf1,24
Egfr,0
Xpo1,0
Psmc3,6
Dbn1,28
Cct5,51
Tcp1,0
Gsn,28
Tpm1,28
Clta,0
Cct7,0
Cct4,0
Coro1a,79
Psmd7,6
Myh10,28
Prkaa1,0
Cfl1,42
Ube2n,77
Cul3,1
Arpc3,79
Arpc1a,79
Gspt1,0
Ogt,0
Rtn1,0
Grpel1,99
Coro1b,0
Myh9,28
Hsd17b10,0
Cct8,0
Cct6a,0
Calu,79
Ruvbl1,0
Tpd52l2,0
Hspbp1,141
Fam98b,128
Ttll12,0
Ppp1r12a,261
Ppme1,141
Eftud1,258
Cltb,0
Basp1,0
Efhd2,0
Capza1,0
Actr3b,79
Arpc5l,79
Coro1c,28
Nif3l1,79
Myo18a,28
Specc1,28
Inf2,28
Cep170,0
Prkacb,84
Actc1,0
2510003E04Rik,265
Alad,0
Synpo,28
Pank4,258
Rdx,86
Hip1r,0
Ctnna1,184
Dnm1,57
Dnm2,57
Pak1,0
Flot2,28
Mbp,124
Src,0
Abl2,0
Bcar1,0
Rps27a,18
Thy1,0
Grin2b,0
Grin1,0
Cdc37,37
Npm1,0
Ptk2,0
Tjp1,0
Asap1,228
Atp6v1c1,117
Atg7,0
Pak2,0
Ctnnd2,244
Hdac6,0
Srcin1,0
Wasl,0
Abi1,24
Cops7a,3
Uso1,0
Arrb1,0
Mycbp2,0
Snx1,246
Kcna2,235
Yes1,0
Hax1,0
Kcnma1,0
Vta1,205
Nck1,283
Mapk1,33
Shank2,283
Ide,128
Cttnbp2,121
Gars,184
Oxct1,0
Rpl9,18
Suclg2,0
Pdha1,0
Syncrip,0
Sars,250
Snx2,246
Shmt2,100
Pgls,0
Apeh,0
Pdk2,132
Me1,238
Sh3pxd2a,156
Exoc8,0
Prkaca,26
Capzb,0
Eif3h,62
2610034B18Rik,0
Tuba4a,0
Vps13a,0
Abce1,27
Vps13c,0
Lasp1,0
Mapk3,0
Wasf3,24
Atp1a1,40
Vcl,0
Ube3a,0
Atp1b1,113
Cat,0
Uggt1,1
Tnpo3,0
Ppp2ca,0
Cyfip1,24
Dlg4,0
Pfn2,118
Pdia6,0
Vbp1,264
Ncs1,0
Itpr1,0
Ywhah,0
Kcnd2,290
Adrbk1,80
Nmt1,0
Ric8,144
Kif21a,0
Nmt2,0
Fsd1,0
Il1rapl1,0
Usp24,0
Abhd6,0
Vcp,0
Htt,8
Ufd1l,203
Psmd2,6
Ppp3ca,273
Rhoa,0
Arhgap1,0
Homer1,5
Ryr2,84
Grm1,0
Ppif,194
Hap1,0
Aco2,113
Hspa9,0
Fyn,22
Epb4.1l1,142
Ahcyl1,0
Erp44,0
Grid2,160
Erlin2,0
Atp1a2,0
Vdac1,12
Slc8a1,0
Sptan1,43
Camk2d,44
Atp1a3,0
Prkcd,0
Sptbn1,43
Fkbp1a,38
Itgb2,0
Eea1,0
Lrp1b,215
Ranbp9,114
Numb,0
Prkar1a,84
Psmd4,6
Prkca,36
Prkce,0
Cops3,3
Cops5,0
Gnb2l1,0
Tln1,0
