Var1,V
Actr2,1
Cttn,1
Arpc5,1
Actr3,1
Arpc4,1
Ywhab,1
Vcam1,2
Gja1,1
Cct3,3
Cct2,3
Flot1,4
Sh3gl1,1
Sh3glb1,5
Calr,5
Snca,4
Stxbp1,1
Grb2,1
Arpc2,1
Tnik,1
Ppp1cb,1
Capza2,1
Actb,1
Ywhae,5
Ywhaz,5
Myo6,1
Wasf1,1
Egfr,1
Xpo1,6
Psmc3,7
Dbn1,1
Cct5,3
Tcp1,3
Gsn,1
Tpm1,1
Clta,1
Cct7,3
Cct4,3
Coro1a,1
Psmd7,7
Myh10,1
Prkaa1,2
Cfl1,5
Ube2n,5
Cul3,2
Arpc3,1
Arpc1a,1
Gspt1,2
Ogt,5
Rtn1,4
Grpel1,4
Coro1b,1
Myh9,1
Hsd17b10,5
Cct8,3
Cct6a,3
Calu,5
Ruvbl1,2
Tpd52l2,5
Hspbp1,5
Fam98b,2
Ttll12,2
Ppp1r12a,1
Ppme1,5
Eftud1,2
Cltb,1
Basp1,1
Efhd2,1
Capza1,1
Actr3b,3
Arpc5l,1
Coro1c,1
Nif3l1,5
Myo18a,1
Specc1,1
Inf2,1
Cep170,1
Prkacb,1
Actc1,1
2510003E04Rik,1
Alad,5
Synpo,1
Pank4,5
Rdx,5
Hip1r,1
Ctnna1,1
Dnm1,1
Dnm2,1
Pak1,1
Flot2,4
Mbp,1
Src,1
Abl2,1
Bcar1,1
Rps27a,2
Thy1,4
Grin2b,1
Grin1,1
Cdc37,2
Npm1,2
Ptk2,1
Tjp1,1
Asap1,1
Atp6v1c1,4
Atg7,6
Pak2,5
Ctnnd2,1
Hdac6,7
Srcin1,1
Wasl,1
Abi1,1
Cops7a,2
Uso1,1
Arrb1,1
Mycbp2,1
Snx1,6
Kcna2,1
Yes1,1
Hax1,1
Kcnma1,5
Vta1,4
Nck1,1
Mapk1,1
Shank2,1
Ide,4
Cttnbp2,3
Gars,2
Oxct1,5
Rpl9,2
Suclg2,4
Pdha1,4
Syncrip,2
Sars,6
Snx2,6
Shmt2,4
Pgls,5
Apeh,6
Pdk2,4
Me1,5
Sh3pxd2a,6
Exoc8,6
Prkaca,1
Capzb,1
Eif3h,2
2610034B18Rik,5
Tuba4a,2
Vps13a,4
Abce1,7
Vps13c,4
Lasp1,1
Mapk3,1
Wasf3,1
Atp1a1,4
Vcl,1
Ube3a,7
Atp1b1,4
Cat,5
Uggt1,3
Tnpo3,3
Ppp2ca,3
Cyfip1,1
Dlg4,1
Pfn2,1
Pdia6,5
Vbp1,3
Ncs1,5
Itpr1,1
Ywhah,5
Kcnd2,5
Adrbk1,1
Nmt1,2
Ric8,1
Kif21a,3
Nmt2,6
Fsd1,5
Il1rapl1,5
Usp24,3
Abhd6,5
Vcp,7
Htt,4
Ufd1l,5
Psmd2,7
Ppp3ca,1
Rhoa,1
Arhgap1,1
Homer1,1
Ryr2,1
Grm1,1
Ppif,4
Hap1,6
Aco2,5
Hspa9,2
Fyn,1
Epb4.1l1,7
Ahcyl1,5
Erp44,5
Grid2,1
Erlin2,4
Atp1a2,4
Vdac1,4
Slc8a1,1
Sptan1,1
Camk2d,1
Atp1a3,1
Prkcd,1
Sptbn1,1
Fkbp1a,5
Itgb2,1
Eea1,6
Lrp1b,1
Ranbp9,1
Numb,1
Prkar1a,1
Psmd4,7
Prkca,1
Prkce,1
Cops3,2
Cops5,2
Gnb2l1,2
Tln1,1
Ptk2b,1
Prkcg,1
Prkcb,1
Cyth2,1
Tln2,1
Icam5,7
Cx3cl1,1
Rab5b,4
Kpnb1,2
Tom1,6
Pdcd6ip,5
Nsf,6
Vps45,6
Rab5a,4
Rabep1,1
Stx6,6
Vac14,1
Kras,1
Kif5c,6
Rabgef1,1
Rab31,6
Eif4g3,2
Stx12,6
Camsap2,6
Ocrl,1
Rab14,4
Dctn2,1
Ppp1r12c,1
Tpi1,5
Usp47,4
AI314180,7
Appl1,1
Rab5c,4
Mars,2
Hagh,4
Rab22a,6
Mark2,1
Ptpn23,4
Gapvd1,1
Nln,1
Irgq,5
Begain,1
Lrba,6
Osbpl1a,4
Mkl2,6
Snx27,1
Fn3k,6
Ctnnb1,1
Camkk1,2
Tsc1,1
Park7,5
Araf,1
Dync1i2,1
Braf,1
Klc1,6
Hspa8,7
Snd1,2
Mtdh,2
Hsp90aa1,2
Tubb5,2
Sorbs2,1
Insr,1
Cdh2,1
Pabpc1,2
Prmt5,2
Chordc1,5
Ppp5c,2
Hsp90ab1,2
Emd,2
Map2k2,1
Map2k1,1
Ap2a2,1
Snap91,1
Amph,1
Prkar2b,1
Ap1b1,1
App,6
Cacnb3,1
Cacna1a,1
Cacna1b,1
D3Bwg0562e,5
Rps3a1,2
Ppfia3,1
Lin7b,1
Cask,1
Grip1,1
Phb2,4
Eef1a2,2
Rps4x,2
Hspa5,2
Ksr1,2
Gnao1,1
Stub1,7
Sept4,6
Stx1a,6
Snap25,6
Pafah1b2,5
Pafah1b1,1
Ndufs3,4
Git1,1
Pik3r2,1
Cs,5
Mdh2,5
Psmd14,7
Psma4,7
Dock4,1
Hcn2,1
Pex5l,1
Ppp1ca,1
Ptprs,1
Dyrk1a,1
Csnk1e,1
Ptprf,1
Ctnna2,1
Ap2m1,1
Ap2b1,1
