NodeA,NodeB,EntrezA,EntrezB
Actr2,Cttn,66713,13043
Actr2,Arpc5,66713,67771
Actr2,Actr3,66713,74117
Actr2,Arpc4,66713,68089
Actr2,Ywhab,66713,54401
Actr2,Vcam1,66713,22329
Actr2,Gja1,66713,14609
Actr2,Cct3,66713,12462
Actr2,Cct2,66713,12461
Actr2,Flot1,66713,14251
Actr2,Sh3gl1,66713,20405
Actr2,Sh3glb1,66713,54673
Actr2,Calr,66713,12317
Actr2,Snca,66713,20617
Actr2,Stxbp1,66713,20910
Actr2,Grb2,66713,14784
Actr2,Arpc2,66713,76709
Actr2,Tnik,66713,665113
Actr2,Ppp1cb,66713,19046
Actr2,Capza2,66713,12343
Actr2,Actb,66713,11461
Actr2,Ywhae,66713,22627
Actr2,Ywhaz,66713,22631
Actr2,Myo6,66713,17920
Actr2,Wasf1,66713,83767
Actr2,Egfr,66713,13649
Actr2,Xpo1,66713,103573
Actr2,Psmc3,66713,19182
Actr2,Dbn1,66713,56320
Actr2,Cct5,66713,12465
Actr2,Tcp1,66713,21454
Actr2,Gsn,66713,227753
Actr2,Tpm1,66713,22003
Actr2,Clta,66713,12757
Actr2,Cct7,66713,12468
Actr2,Cct4,66713,12464
Actr2,Coro1a,66713,12721
Actr2,Psmd7,66713,17463
Actr2,Myh10,66713,77579
Actr2,Prkaa1,66713,105787
Actr2,Cfl1,66713,12631
Actr2,Ube2n,66713,93765
Actr2,Cul3,66713,26554
Actr2,Arpc3,66713,56378
Actr2,Arpc1a,66713,56443
Actr2,Gspt1,66713,14852
Actr2,Ogt,66713,108155
Actr2,Rtn1,66713,104001
Actr2,Grpel1,66713,17713
Actr2,Coro1b,66713,23789
Actr2,Myh9,66713,17886
Actr2,Hsd17b10,66713,15108
Actr2,Cct8,66713,12469
Actr2,Cct6a,66713,12466
Actr2,Calu,66713,12321
Actr2,Ruvbl1,66713,56505
Actr2,Tpd52l2,66713,66314
Actr2,Hspbp1,66713,66245
Actr2,Fam98b,66713,68215
Actr2,Ttll12,66713,223723
Actr2,Ppp1r12a,66713,17931
Actr2,Ppme1,66713,72590
Actr2,Eftud1,66713,101592
Actr2,Cltb,66713,74325
Actr2,Basp1,66713,70350
Actr2,Efhd2,66713,27984
Actr2,Capza1,66713,12340
Actr2,Actr3b,66713,242894
Actr2,Arpc5l,66713,74192
Actr2,Coro1c,66713,23790
Actr2,Nif3l1,66713,65102
Actr2,Myo18a,66713,360013
Actr2,Specc1,66713,432572
Actr2,Inf2,66713,70435
Actr2,Cep170,66713,545389
Actr2,Prkacb,66713,18749
Actr2,Actc1,66713,11464
Actr2,2510003E04Rik,66713,72320
Actr2,Alad,66713,17025
Actr2,Synpo,66713,104027
Actr2,Pank4,66713,269614
Cttn,Actr3,13043,74117
Cttn,Arpc4,13043,68089
Cttn,Ywhab,13043,54401
Cttn,Rdx,13043,19684
Cttn,Hip1r,13043,29816
Cttn,Ctnna1,13043,12385
Cttn,Dnm1,13043,13429
Cttn,Dnm2,13043,13430
Cttn,Pak1,13043,18479
Cttn,Flot2,13043,14252
Cttn,Mbp,13043,17196
Cttn,Src,13043,20779
Cttn,Grb2,13043,14784
Cttn,Abl2,13043,11352
Cttn,Bcar1,13043,12927
Cttn,Arpc2,13043,76709
Cttn,Ppp1cb,13043,19046
Cttn,Capza2,13043,12343
Cttn,Actb,13043,11461
Cttn,Ywhae,13043,22627
Cttn,Ywhaz,13043,22631
Cttn,Rps27a,13043,78294
Cttn,Thy1,13043,21838
Cttn,Grin2b,13043,14812
Cttn,Grin1,13043,14810
Cttn,Cdc37,13043,12539
Cttn,Egfr,13043,13649
Cttn,Npm1,13043,18148
Cttn,Ptk2,13043,14083
Cttn,Dbn1,13043,56320
Cttn,Tjp1,13043,21872
Cttn,Asap1,13043,13196
Cttn,Atp6v1c1,13043,66335
Cttn,Atg7,13043,74244
Cttn,Pak2,13043,224105
Cttn,Ctnnd2,13043,18163
Cttn,Hdac6,13043,15185
Cttn,Srcin1,13043,56013
Cttn,Wasl,13043,73178
Cttn,Abi1,13043,11308
Cttn,Cops7a,13043,26894
Cttn,Uso1,13043,56041
Cttn,Arrb1,13043,109689
Cttn,Mycbp2,13043,105689
Cttn,Myh10,13043,77579
Cttn,Snx1,13043,56440
Cttn,Cfl1,13043,12631
Cttn,Kcna2,13043,16490
Cttn,Cul3,13043,26554
Cttn,Yes1,13043,22612
Cttn,Hax1,13043,23897
Cttn,Kcnma1,13043,16531
Cttn,Vta1,13043,66201
Cttn,Nck1,13043,17973
Cttn,Arpc3,13043,56378
Cttn,Mapk1,13043,26413
Cttn,Gspt1,13043,14852
Cttn,Coro1b,13043,23789
Cttn,Shank2,13043,210274
Cttn,Myh9,13043,17886
Cttn,Ide,13043,15925
Cttn,Cttnbp2,13043,30785
Cttn,Gars,13043,353172
Cttn,Oxct1,13043,67041
Cttn,Rpl9,13043,20005
Cttn,Suclg2,13043,20917
Cttn,Pdha1,13043,18597
Cttn,Syncrip,13043,56403
Cttn,Sars,13043,20226
Cttn,Coro1c,13043,23790
Cttn,Snx2,13043,67804
Cttn,Shmt2,13043,108037
Cttn,Pgls,13043,66171
Cttn,Apeh,13043,235606
Cttn,Myo18a,13043,360013
Cttn,Pdk2,13043,18604
Cttn,Me1,13043,17436
Cttn,Sh3pxd2a,13043,14218
Cttn,Synpo,13043,104027
Cttn,Exoc8,13043,102058
Arpc5,Actr3,67771,74117
Arpc5,Arpc4,67771,68089
Arpc5,Gja1,67771,14609
Arpc5,Prkaca,67771,18747
Arpc5,Sh3gl1,67771,20405
Arpc5,Calr,67771,12317
Arpc5,Grb2,67771,14784
Arpc5,Arpc2,67771,76709
Arpc5,Capza2,67771,12343
Arpc5,Capzb,67771,12345
Arpc5,Actb,67771,11461
Arpc5,Egfr,67771,13649
Arpc5,Dbn1,67771,56320
Arpc5,Eif3h,67771,68135
Arpc5,Arrb1,67771,109689
Arpc5,Myh10,67771,77579
Arpc5,2610034B18Rik,67771,70420
Arpc5,Arpc3,67771,56378
Arpc5,Arpc1a,67771,56443
Arpc5,Tuba4a,67771,22145
Arpc5,Actr3b,67771,242894
Arpc5,Arpc5l,67771,74192
Arpc5,Coro1c,67771,23790
Arpc5,Vps13a,67771,271564
Arpc5,Abce1,67771,24015
Arpc5,Synpo,67771,104027
Arpc5,Vps13c,67771,320528
Actr3,Arpc4,74117,68089
Actr3,Ywhab,74117,54401
Actr3,Vcam1,74117,22329
Actr3,Cct3,74117,12462
Actr3,Cct2,74117,12461
Actr3,Sh3gl1,74117,20405
Actr3,Sh3glb1,74117,54673
Actr3,Snca,74117,20617
Actr3,Stxbp1,74117,20910
Actr3,Lasp1,74117,16796
Actr3,Grb2,74117,14784
Actr3,Arpc2,74117,76709
Actr3,Mapk3,74117,26417
Actr3,Ppp1cb,74117,19046
Actr3,Capza2,74117,12343
Actr3,Wasf3,74117,245880
Actr3,Actb,74117,11461
Actr3,Ywhae,74117,22627
Actr3,Ywhaz,74117,22631
Actr3,Atp1a1,74117,11928
Actr3,Wasf1,74117,83767
Actr3,Xpo1,74117,103573
Actr3,Ptk2,74117,14083
Actr3,Dbn1,74117,56320
Actr3,Vcl,74117,22330
Actr3,Tpm1,74117,22003
Actr3,Cct7,74117,12468
Actr3,Cct4,74117,12464
Actr3,Coro1a,74117,12721
Actr3,Myh10,74117,77579
Actr3,Kcnma1,74117,16531
Actr3,Arpc3,74117,56378
Actr3,Ube3a,74117,22215
Actr3,Arpc1a,74117,56443
Actr3,Gspt1,74117,14852
Actr3,Atp1b1,74117,11931
Actr3,Coro1b,74117,23789
Actr3,Myh9,74117,17886
Actr3,Hsd17b10,74117,15108
Actr3,Cct6a,74117,12466
Actr3,Calu,74117,12321
Actr3,Tpd52l2,74117,66314
Actr3,Ttll12,74117,223723
Actr3,Ppp1r12a,74117,17931
Actr3,Actr3b,74117,242894
Actr3,Arpc5l,74117,74192
Actr3,Cat,74117,12359
Actr3,Coro1c,74117,23790
Actr3,Nif3l1,74117,65102
Actr3,Pgls,74117,66171
Actr3,Uggt1,74117,320011
Actr3,Myo18a,74117,360013
Actr3,Tnpo3,74117,320938
Actr3,Prkacb,74117,18749
Actr3,2510003E04Rik,74117,72320
Actr3,Synpo,74117,104027
Arpc4,Vcam1,68089,22329
Arpc4,Gja1,68089,14609
Arpc4,Ppp2ca,68089,19052
Arpc4,Sh3gl1,68089,20405
Arpc4,Sh3glb1,68089,54673
Arpc4,Cyfip1,68089,20430
Arpc4,Dlg4,68089,13385
Arpc4,Grb2,68089,14784
Arpc4,Arpc2,68089,76709
Arpc4,Pfn2,68089,18645
Arpc4,Mapk3,68089,26417
Arpc4,Ppp1cb,68089,19046
Arpc4,Capza2,68089,12343
Arpc4,Ywhae,68089,22627
Arpc4,Grin2b,68089,14812
Arpc4,Xpo1,68089,103573
Arpc4,Dbn1,68089,56320
Arpc4,Tpm1,68089,22003
Arpc4,Myh10,68089,77579
Arpc4,Ube2n,68089,93765
Arpc4,Arpc3,68089,56378
Arpc4,Arpc1a,68089,56443
Arpc4,Grpel1,68089,17713
Arpc4,Myh9,68089,17886
Arpc4,Calu,68089,12321
Arpc4,Pdha1,68089,18597
Arpc4,Ttll12,68089,223723
Arpc4,Pdia6,68089,71853
Arpc4,Efhd2,68089,27984
Arpc4,Actr3b,68089,242894
Arpc4,Arpc5l,68089,74192
Arpc4,Coro1c,68089,23790
Arpc4,Nif3l1,68089,65102
Arpc4,Myo18a,68089,360013
Arpc4,Vbp1,68089,22327
Arpc4,Prkacb,68089,18749
Arpc4,Synpo,68089,104027
Ncs1,Itpr1,14299,16438
Ncs1,Ywhah,14299,22629
Ncs1,Ywhae,14299,22627
Ncs1,Kcnd2,14299,16508
Ncs1,Xpo1,14299,103573
Ncs1,Adrbk1,14299,110355
Ncs1,Nmt1,14299,18107
Ncs1,Ric8,14299,101489
Ncs1,Kif21a,14299,16564
Ncs1,Nmt2,14299,18108
Ncs1,Fsd1,14299,240121
Ncs1,Il1rapl1,14299,331461
Ncs1,Usp24,14299,329908
Ncs1,Abhd6,14299,66082
Itpr1,Ywhab,16438,54401
Itpr1,Vcp,16438,269523
Itpr1,Htt,16438,15194
Itpr1,Prkaca,16438,18747
Itpr1,Ufd1l,16438,22230
Itpr1,Psmd2,16438,21762
Itpr1,Ppp3ca,16438,19055
Itpr1,Rhoa,16438,11848
Itpr1,Arhgap1,16438,228359
Itpr1,Capza2,16438,12343
Itpr1,Ywhae,16438,22627
Itpr1,Ywhaz,16438,22631
Itpr1,Atp1a1,16438,11928
Itpr1,Homer1,16438,26556
Itpr1,Ryr2,16438,20191
Itpr1,Grm1,16438,14816
Itpr1,Ppif,16438,105675
Itpr1,Hap1,16438,15114
Itpr1,Aco2,16438,11429
Itpr1,Hspa9,16438,15526
Itpr1,Fyn,16438,14360
Itpr1,Epb4.1l1,16438,13821
Itpr1,Ahcyl1,16438,229709
Itpr1,Erp44,16438,76299
Itpr1,Grid2,16438,14804
Itpr1,Erlin2,16438,244373
Itpr1,Atp1a2,16438,98660
Itpr1,Vdac1,16438,22333
Itpr1,Myh10,16438,77579
Itpr1,Slc8a1,16438,20541
Itpr1,Sptan1,16438,20740
Itpr1,Camk2d,16438,108058
Itpr1,Atp1a3,16438,232975
Itpr1,Prkcd,16438,18753
Itpr1,Sptbn1,16438,20742
Itpr1,Myh9,16438,17886
Itpr1,Fkbp1a,16438,14225
Itpr1,Synpo,16438,104027
Itgb2,Eea1,16414,216238
Itgb2,Ywhab,16414,54401
Itgb2,Lrp1b,16414,94217
Itgb2,Rdx,16414,19684
Itgb2,Ranbp9,16414,56705
Itgb2,Numb,16414,18222
Itgb2,Prkar1a,16414,19084
Itgb2,Psmd4,16414,19185
Itgb2,Prkca,16414,18750
Itgb2,Prkce,16414,18754
Itgb2,Ywhae,16414,22627
Itgb2,Ywhaz,16414,22631
Itgb2,Cops3,16414,26572
Itgb2,Cops5,16414,26754
Itgb2,Egfr,16414,13649
Itgb2,Gnb2l1,16414,14694
Itgb2,Ptk2,16414,14083
Itgb2,Tln1,16414,21894
Itgb2,Ptk2b,16414,19229
Itgb2,Prkcg,16414,18752
Itgb2,Prkcb,16414,18751
Itgb2,Prkcd,16414,18753
Itgb2,Cyth2,16414,19158
Itgb2,Tln2,16414,70549
Itgb2,Icam5,16414,15898
Itgb2,Cx3cl1,16414,20312
Eea1,Rab5b,216238,19344
Eea1,Kpnb1,216238,16211
Eea1,Vcp,216238,269523
Eea1,Tom1,216238,21968
Eea1,Pdcd6ip,216238,18571
Eea1,Nsf,216238,18195
Eea1,Vps45,216238,22365
Eea1,Rab5a,216238,271457
Eea1,Rabep1,216238,54189
Eea1,Stx6,216238,58244
Eea1,Ywhae,216238,22627
Eea1,Vac14,216238,234729
Eea1,Egfr,216238,13649
Eea1,Kras,216238,16653
Eea1,Tcp1,216238,21454
Eea1,Kif5c,216238,16574
Eea1,Rabgef1,216238,56715
Eea1,Rab31,216238,106572
