Accession,logFC,%WT,F,PValue,FDR,candidate
A2A432,0.161373850117452,111.83516154028,5.28963410454595,0.0282391005546453,0.159085552255715,no
A2A5R2,0.025464921256303,101.780763678499,1.27224671419727,0.267869824851814,0.480196279932517,no
A2A690,-0.0707961528618498,95.2112428737214,7.67048833675752,0.00933118515581945,0.112299886527517,no
A2A699,-0.0892627678734561,94.0002977772084,6.97467724238556,0.0127578090469537,0.124431863133948,no
A2A8L5,-0.0102414470955646,99.2926306999121,0.0829728123418245,0.775196616763631,0.874688590354046,no
A2AAE1,0.0347944876346341,102.441088498367,0.93082125928239,0.34200369229055,0.55449014215003,no
A2ADY9,-0.0393139800042534,97.3117567297043,0.865461341150438,0.359295042928069,0.57008633908414,no
A2AG50,0.0283265382492799,101.982848390495,0.176010030841547,0.677674381754694,0.806887707183267,no
A2AGT5,-0.0067639925389848,99.5322531231766,0.131562149785213,0.719242026177112,0.833551564685766,no
A2AHC3,-0.019498555595996,98.6575553682979,0.292498819727689,0.592430609388771,0.750700743768718,no
A2AHG0,-0.0552036508136744,96.2458572872317,2.35166473258761,0.135139817695919,0.33571148540294,no
A2AJA9,-0.0646122485605673,95.6202280416119,3.07479840166505,0.0892485772804846,0.268347600859723,no
A2AJI0,0.000765938905753316,100.053104934981,0.00100076708929935,0.974962947785805,0.986111171736289,no
A2ALI5,0.0575153943767874,104.067197410719,1.20891128022278,0.279886113188662,0.493516700147918,no
A2ALS5,-0.011589068679028,99.1999247486029,0.196049516675647,0.66095654751795,0.797080906029182,no
A2ALU4,0.00387455480360862,100.268924629098,0.0128936870155249,0.910315368195925,0.952941459201087,no
A2AN08,-0.0487756201904678,96.6756443293869,4.21435055229162,0.0484741755299341,0.200883259351676,no
A2AP18,-0.076009891674279,94.8677810616766,4.78227982314223,0.0363045177530876,0.175798354060899,no
A2APV2,-0.0699000416223336,95.2704004680828,4.90296673998151,0.0341789312921517,0.170794718961565,no
A2APX8,-0.0334872722161502,97.7055708778074,1.08376375944714,0.305787387477411,0.519388353783355,no
A2AQ25,-0.0237292543164239,98.3686661843617,0.470477082273857,0.497789045051959,0.680811287210045,no
A2ARS0,-0.0630203453374615,95.725795854847,0.464711760961781,0.500415446703735,0.682603413095436,no
A2ASZ8,-0.0240031882710244,98.3499900547023,0.197931149365897,0.659440272660933,0.795867397902077,no
A2AWA9,-0.0343591848535394,97.6465390092076,2.55484477462327,0.119947730795335,0.316179787003582,no
A2CG49,0.00435629606009198,100.302411777795,0.0186682314356424,0.892192030506232,0.941322632761738,no
A2RSJ4,0.00948872684273615,100.659876077351,0.0587195681228608,0.810103193819753,0.894258135067143,no
A2RT62,0.0413455266894315,102.907314227467,3.05283928235188,0.090347327636653,0.270608454466405,no
A6H5Z3,-0.0306758380534185,97.896159046541,1.03107717654511,0.31764753546022,0.529582242612899,no
A6H630,0.0509176711296098,103.592364582919,2.45122454925309,0.127432298181785,0.326174036910151,no
B0F2B4,-0.06031990864345,95.9051432060858,2.40962039142767,0.13058910491964,0.329215344470271,no
B0V2N1,-0.0464987137311852,96.8283413203944,2.21968150133086,0.146213842281904,0.348346108215132,no
B1AR13,0.137573587563828,110.005342228577,6.35169684935149,0.0170029397927409,0.133667947337895,no
B1AS29,-0.0756006059188314,94.8946984201786,5.05131605336514,0.0317516183749924,0.166310898905568,no
