Module,KW.statistic,KW.parameter,KW.pval,KW.padj,DT.Contrast,DT.diff,DT.lwr.ci,DT.upr.ci,DT.pval,Sig,PVE
M1,10.6761363636364,4,0.0304553329270461,1,KO.Shank2.Cortex-WT.Cortex,-0.11824285347993,-0.331326707407567,0.0948410004477068,0.459407798989433,FALSE,0.712123833867067
M1,10.6761363636364,4,0.0304553329270461,1,KO.Shank3.Cortex-WT.Cortex,0.285737841992641,0.0726539880650041,0.498821695920278,0.00561153450302387,FALSE,0.712123833867067
M1,10.6761363636364,4,0.0304553329270461,1,HET.Syngap1.Cortex-WT.Cortex,-0.0454935139125402,-0.258577367840177,0.167590340015097,0.961793437640422,FALSE,0.712123833867067
M1,10.6761363636364,4,0.0304553329270461,1,KO.Ube3a.Cortex-WT.Cortex,-0.113369075682762,-0.326452929610399,0.0997147782448744,0.498548399334188,FALSE,0.712123833867067
M2,15.0767045454545,4,0.00454474242172636,0.322676711942572,KO.Shank2.Cortex-WT.Cortex,-0.0634779610256798,-0.276437864444304,0.149481942392944,0.884333860024288,FALSE,0.780560405218879
M2,15.0767045454545,4,0.00454474242172636,0.322676711942572,KO.Shank3.Cortex-WT.Cortex,0.254690803797134,0.0417309003785102,0.467650707215758,0.01462011810227,FALSE,0.780560405218879
M2,15.0767045454545,4,0.00454474242172636,0.322676711942572,HET.Syngap1.Cortex-WT.Cortex,-0.178503184446631,-0.391463087865255,0.0344567189719924,0.125045919733522,FALSE,0.780560405218879
M2,15.0767045454545,4,0.00454474242172636,0.322676711942572,KO.Ube3a.Cortex-WT.Cortex,0.108535117670783,-0.104424785747841,0.321495021089407,0.537905432816496,FALSE,0.780560405218879
M3,15.9744318181818,4,0.00305366492154281,0.216810209429539,KO.Shank2.Cortex-WT.Cortex,0.173002710249427,-0.0308560741747022,0.376861494673556,0.118146513309797,FALSE,0.737108101267505
M3,15.9744318181818,4,0.00305366492154281,0.216810209429539,KO.Shank3.Cortex-WT.Cortex,-0.0560483208201057,-0.259907105244235,0.147810463604024,0.910378542421143,FALSE,0.737108101267505
M3,15.9744318181818,4,0.00305366492154281,0.216810209429539,HET.Syngap1.Cortex-WT.Cortex,-0.0692961309778001,-0.273154915401929,0.134562653446329,0.828537852559024,FALSE,0.737108101267505
M3,15.9744318181818,4,0.00305366492154281,0.216810209429539,KO.Ube3a.Cortex-WT.Cortex,0.318128915790799,0.11427013136667,0.521987700214929,0.00117645050252468,FALSE,0.737108101267505
M4,15.9289772727273,4,0.00311596129963313,0.221233252273952,KO.Shank2.Cortex-WT.Cortex,0.192565201795192,-0.0105377608164089,0.395668164406792,0.0675259855602008,FALSE,0.735354663813954
M4,15.9289772727273,4,0.00311596129963313,0.221233252273952,KO.Shank3.Cortex-WT.Cortex,-0.104372084989532,-0.307475047601132,0.0987308776220689,0.53039590748063,FALSE,0.735354663813954
M4,15.9289772727273,4,0.00311596129963313,0.221233252273952,HET.Syngap1.Cortex-WT.Cortex,-0.124156159782891,-0.327259122394492,0.0789468028287095,0.369268372118786,FALSE,0.735354663813954
M4,15.9289772727273,4,0.00311596129963313,0.221233252273952,KO.Ube3a.Cortex-WT.Cortex,0.256929284591267,0.053826321979666,0.460032247202867,0.00914739572529399,FALSE,0.735354663813954
M5,21.7357954545455,4,0.00022620686569967,0.0160606874646766,KO.Shank2.Cortex-WT.Cortex,0.150805439956506,-0.0182716500108297,0.319882529923842,0.0930690532799932,FALSE,0.675253938874266
M5,21.7357954545455,4,0.00022620686569967,0.0160606874646766,KO.Shank3.Cortex-WT.Cortex,0.212891919302992,0.0438148293356562,0.381969009270328,0.00967208010717346,TRUE,0.675253938874266
M5,21.7357954545455,4,0.00022620686569967,0.0160606874646766,HET.Syngap1.Cortex-WT.Cortex,-0.172798393723246,-0.341875483690582,-0.00372130375590948,0.0435483608248117,TRUE,0.675253938874266
M5,21.7357954545455,4,0.00022620686569967,0.0160606874646766,KO.Ube3a.Cortex-WT.Cortex,0.309055381037654,0.139978291070317,0.47813247100499,0.00016822773068792,TRUE,0.675253938874266
M6,12.2478693181818,4,0.0156001544264107,1,KO.Shank2.Cortex-WT.Cortex,0.0716295847452588,-0.152915132167157,0.296174301657675,0.857760694601659,FALSE,0.457240495679945
M6,12.2478693181818,4,0.0156001544264107,1,KO.Shank3.Cortex-WT.Cortex,0.161865421541403,-0.0626792953710131,0.386410138453819,0.227030566205193,FALSE,0.457240495679945
M6,12.2478693181818,4,0.0156001544264107,1,HET.Syngap1.Cortex-WT.Cortex,0.0972805994041127,-0.127264117508303,0.321825316316529,0.675056968068542,FALSE,0.457240495679945
M6,12.2478693181818,4,0.0156001544264107,1,KO.Ube3a.Cortex-WT.Cortex,0.330037172154751,0.105492455242335,0.554581889067167,0.0022381575786542,FALSE,0.457240495679945
M7,11.3039772727273,4,0.023351996779577,1,KO.Shank2.Cortex-WT.Cortex,-0.0882619997807906,-0.317962930837662,0.141438931276081,0.759486857969267,FALSE,0.795613044046137
M7,11.3039772727273,4,0.023351996779577,1,KO.Shank3.Cortex-WT.Cortex,0.0348089650504378,-0.194891966006433,0.264509896107309,0.989005899485441,FALSE,0.795613044046137
M7,11.3039772727273,4,0.023351996779577,1,HET.Syngap1.Cortex-WT.Cortex,0.191897332998948,-0.0378035980579234,0.421598264055819,0.126923666084033,FALSE,0.795613044046137
