nWT,nKO,nPresWT,nDivWT,nPresKO,nDivKO,percentTotalDivergence,percentTotalPreservation,k_WT_NS,k_WT_Di,k_WT_Pr,k_WT_NC,k_KO_NS,k_KO_Di,k_KO_Pr,k_KO_NC
2,2,1163,0,1984,0,0,0.539239204934887,1,0,1,1,1,0,2,1
2,2,1161,0,2025,0,0,0.54592186429061,1,0,1,1,1,0,2,1
2,2,1153,0,2008,0,0,0.541638108293352,1,0,1,1,1,0,2,1
3,3,2072,0,1998,0,0,0.697395476353667,1,0,2,1,1,0,2,1
3,3,2051,0,1980,0,0,0.690712816997944,1,0,2,1,1,0,2,1
3,3,2024,0,1984,0,0,0.686771761480466,1,0,2,1,1,0,2,1
3,3,2029,0,1886,0,0,0.670836189170665,1,0,2,1,1,0,2,1
3,3,2026,0,1845,0,0,0.66329677861549,1,0,2,1,1,0,2,1
3,3,1990,0,1913,0,0,0.668779986291981,1,0,2,1,1,0,2,1
3,3,1977,0,1898,0,0,0.663982179575052,1,0,2,1,1,0,2,1
3,3,1964,0,1792,0,0,0.643591501028102,1,0,2,1,1,0,2,1
3,3,1921,0,1784,0,0,0.634852638793694,1,0,2,1,1,0,2,1
3,3,1900,0,1751,0,0,0.625599725839616,1,0,2,1,1,0,2,1
3,3,1868,0,1726,0,0,0.615832762165867,1,0,2,1,1,0,2,1
3,3,1867,0,1720,0,0,0.614633310486635,1,0,2,1,1,0,2,1
3,3,1859,0,1686,0,0,0.607436600411241,1,0,2,1,1,0,2,1
3,3,1840,0,1662,0,0,0.600068540095956,1,0,2,1,1,0,2,1
3,3,1809,0,1625,0,0,0.588416723783413,1,0,2,1,1,0,2,1
3,3,1805,0,1612,0,0,0.585503769705278,1,0,2,1,1,0,2,1
3,3,1761,0,1656,0,0,0.585503769705278,1,0,2,1,1,0,2,1
3,3,1740,0,1634,0,0,0.578135709389993,1,0,2,1,1,0,2,1
3,3,1728,0,1460,0,0,0.546264564770391,1,0,2,1,1,0,2,1
3,3,1706,0,1511,0,0,0.55123372172721,1,0,2,1,1,0,2,1
3,3,1685,0,1548,0,0,0.553975325565456,1,0,2,1,1,0,2,1
3,3,1667,0,1491,0,0,0.541124057573681,1,0,2,1,1,0,2,1
3,3,1657,0,1459,0,0,0.533927347498287,1,0,2,1,1,0,2,1
3,3,1630,0,1397,0,0,0.518677176148047,1,0,2,1,1,0,2,1
3,3,2276,0,2129,0,0,0.75479780671693,0,0,3,1,0,0,3,1
3,3,2255,0,1764,0,0,0.68865661411926,0,0,3,1,1,0,3,1
3,3,2267,0,2242,0,0,0.772618231665524,0,0,3,1,0,0,4,1
3,3,2219,0,1627,0,0,0.659013022618232,0,0,3,1,1,0,3,1
