nWT,nKO,nPresWT,nDivWT,nPresKO,nDivKO,percentTotalDivergence,percentTotalPreservation,k_WT_NS,k_WT_Di,k_WT_Pr,k_WT_NC,k_KO_NS,k_KO_Di,k_KO_Pr,k_KO_NC,k_WT_NS,k_WT_Di,k_WT_Pr,k_WT_NC,k_KO_NS,k_KO_Di,k_KO_Pr,k_KO_NC
3,3,2095,0,1984,0,0,0.69893762851268,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1
3,3,2056,0,2025,0,0,0.699280328992461,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,1
3,3,2086,0,1905,0,0,0.68385880740233,1,0,2,1,2,0,2,0,1,0,2,1,2,0,2,0
4,4,2072,0,1998,0,0,0.697395476353667,2,0,2,1,2,0,2,1,2,0,2,1,2,0,2,1
5,5,2051,0,1893,0,0,0.675805346127485,3,0,2,1,3,0,2,0,3,0,2,1,3,0,2,0
6,6,2024,0,1984,0,0,0.686771761480466,4,0,2,1,3,0,2,1,4,0,2,1,3,0,2,1
7,7,2029,0,976,0,0,0.514907470870459,5,0,2,1,4,0,2,1,5,0,2,1,4,0,2,1
7,7,2026,0,974,0,0,0.514050719671008,5,0,2,1,4,0,2,1,5,0,2,1,4,0,2,1
7,7,1697,0,1913,852,0.145990404386566,0.618574366004112,5,0,2,0,4,1,2,1,5,0,2,0,4,1,2,1
7,7,1696,0,1898,0,0,0.615832762165867,5,0,2,0,6,0,2,1,5,0,2,0,6,0,2,1
8,8,1964,20,937,913,0.159869773817683,0.497087045921864,5,1,2,1,4,2,2,1,5,1,2,1,4,2,2,1
8,8,1921,0,1793,67,0.0114804660726525,0.636394790952707,6,0,2,1,4,2,2,0,6,0,2,1,4,2,2,0
8,8,1900,22,911,55,0.0131939684715559,0.481665524331734,5,1,2,1,6,1,2,1,5,1,2,1,6,1,2,1
10,10,1619,0,904,56,0.00959561343385881,0.432316655243317,8,0,2,0,6,1,2,1,8,0,2,0,6,1,2,1
9,9,1867,30,904,829,0.147189856065798,0.474811514736121,6,1,2,1,6,1,2,1,6,1,2,1,6,1,2,1
