x,y
20,0
174,0
31,0
2,2
54,0
0,0
23,0
0,0
0,0
0,0
41,0
33,0
1,1
151,92
13,13
5,5
165,100
2,2
20,0
134,78
5,5
2,2
12,12
84,0
21,0
35,34
6,0
2,2
119,67
169,104
173,0
13,13
2,2
0,0
16,0
11,0
0,0
16,0
2,2
9,0
24,0
20,0
9,0
64,0
9,0
0,0
5,5
2,2
114,62
168,103
3,3
6,0
22,22
0,0
48,0
172,0
38,0
62,0
23,0
0,0
13,13
11,0
168,103
22,22
36,0
37,0
0,0
7,7
23,0
153,94
11,0
0,0
0,0
0,0
172,0
126,0
0,0
16,0
1,1
37,0
62,0
113,61
119,67
0,0
51,0
26,26
0,0
25,0
25,0
23,0
4,0
0,0
29,0
7,7
0,0
134,78
0,0
174,0
150,91
1,1
26,26
12,12
18,0
0,0
138,82
16,0
3,3
21,0
5,5
0,0
21,0
0,0
7,7
74,0
12,12
0,0
31,0
21,0
0,0
24,0
15,15
3,3
62,0
24,0
3,3
141,0
0,0
168,103
17,17
13,13
16,0
169,104
0,0
150,91
2,2
17,17
81,0
117,0
39,0
2,2
31,0
30,0
33,0
28,0
113,61
113,61
7,7
37,0
0,0
2,2
13,13
57,0
183,113
27,0
8,0
22,22
0,0
4,0
21,0
0,0
0,0
15,15
0,0
17,17
23,0
35,34
25,0
2,2
0,0
1,1
0,0
29,0
34,0
149,90
15,15
57,0
9,0
114,62
114,62
166,0
5,5
182,112
22,22
0,0
0,0
19,19
0,0
1,1
63,0
11,0
186,0
14,0
6,0
24,0
0,0
0,0
6,0
0,0
26,26
7,7
11,0
165,100
0,0
10,10
0,0
0,0
40,39
12,12
18,0
0,0
6,0
18,0
0,0
6,0
153,94
148,89
0,0
20,0
0,0
24,0
66,0
17,17
7,7
0,0
25,0
0,0
6,0
1,1
11,0
14,0
119,67
6,0
37,0
28,0
0,0
2,2
0,0
133,77
17,17
74,0
0,0
1,1
29,0
0,0
0,0
64,0
84,0
132,76
18,0
35,34
2,2
26,26
0,0
57,0
8,0
57,0
3,3
0,0
7,7
170,0
0,0
0,0
0,0
0,0
0,0
134,78
3,3
134,78
62,0
39,0
0,0
39,0
14,0
1,1
42,0
170,0
7,7
3,3
4,0
156,97
150,91
36,0
9,0
0,0
10,10
26,26
26,26
18,0
157,98
118,66
19,19
22,22
22,22
13,13
16,0
42,0
26,26
23,0
147,88
0,0
0,0
123,0
5,5
24,0
2,2
0,0
0,0
3,3
9,0
24,0
0,0
28,0
39,0
54,0
12,12
35,34
0,0
6,0
10,10
19,19
18,0
10,10
2,2
170,0
166,0
8,0
10,10
18,0
14,0
5,5
38,0
17,17
3,3
12,12
25,0
165,100
5,5
182,112
24,0
167,102
29,0
165,100
21,0
0,0
3,3
182,112
1,1
181,111
183,113
6,0
30,0
1,1
181,111
0,0
0,0
2,2
165,100
61,0
74,0
15,15
12,12
1,1
9,0
39,0
119,67
51,0
5,5
22,22
33,0
81,0
7,7
15,15
148,89
149,90
23,0
30,0
43,0
3,3
133,77
149,90
149,90
11,0
2,2
1,1
165,100
1,1
169,104
155,0
154,95
22,22
184,114
137,81
134,78
26,26
24,0
35,34
113,61
43,0
37,0
9,0
24,0
39,0
0,0
13,13
16,0
167,102
51,0
5,5
20,0
64,0
116,64
41,0
7,7
0,0
6,0
66,0
81,0
35,34
62,0
62,0
39,0
18,0
0,0
0,0
12,12
36,0
0,0
20,0
38,0
181,111
43,0
24,0
5,5
0,0
0,0
4,0
6,0
0,0
91,0
115,63
5,5
1,1
13,13
35,34
14,0
64,0
11,0
0,0
182,112
11,0
26,26
7,7
0,0
157,98
152,93
0,0
8,0
10,10
23,0
42,0
23,0
12,12
0,0
153,94
21,0
0,0
51,0
1,1
187,0
31,0
25,0
6,0
115,63
132,76
36,0
0,0
11,0
9,0
37,0
0,0
66,0
156,97
18,0
9,0
20,0
171,0
74,0
154,95
0,0
148,89
1,1
30,0
27,0
87,0
1,1
46,0
29,0
4,0
0,0
21,0
139,83
41,0
6,0
2,2
114,62
30,0
14,0
27,0
154,95
46,0
14,0
169,104
181,111
184,114
48,0
34,0
31,0
113,61
113,61
1,1
54,0
40,39
6,0
42,0
66,0
5,5
0,0
20,0
139,83
183,113
0,0
33,0
0,0
115,63
0,0
54,0
43,0
0,0
10,10
6,0
3,3
6,0
149,90
0,0
25,0
115,63
23,0
39,0
0,0
45,0
13,13
46,0
22,22
147,88
0,0
60,49
183,113
33,0
57,0
118,66
61,0
16,0
42,0
0,0
2,2
46,0
26,26
18,0
30,0
136,80
10,10
7,7
0,0
181,111
120,68
5,5
0,0
183,113
181,111
184,114
36,0
0,0
6,0
0,0
156,97
5,5
11,0
1,1
74,0
137,81
30,0
134,78
40,39
155,0
12,12
4,0
25,0
27,0
9,0
28,0
115,63
46,0
116,64
7,7
149,90
24,0
0,0
7,7
57,0
115,63
4,0
187,0
0,0
60,49
3,3
181,111
4,0
18,0
11,0
42,0
84,0
57,0
15,15
134,78
0,0
37,0
115,63
147,88
132,76
7,7
16,0
4,0
142,0
0,0
119,67
135,79
19,19
84,0
64,0
4,0
20,0
115,63
69,0
0,0
35,34
8,0
6,0
13,13
1,1
0,0
20,0
5,5
31,0
25,0
37,0
29,0
25,0
81,0
41,0
26,26
31,0
0,0
3,3
126,0
11,0
1,1
19,19
3,3
3,3
8,0
151,92
132,76
41,0
15,15
17,17
0,0
5,5
43,0
43,0
62,0
0,0
7,7
186,0
22,22
14,0
1,1
135,79
0,0
170,0
34,0
37,0
12,12
140,84
15,15
61,0
1,1
35,34
16,0
0,0
14,0
0,0
46,0
15,15
0,0
39,0
48,0
1,1
8,0
74,0
0,0
0,0
57,0
40,39
51,0
0,0
60,49
48,0
0,0
181,111
8,0
0,0
11,0
16,0
2,2
14,0
19,19
35,34
19,19
46,0
33,0
156,97
0,0
91,0
42,0
183,113
173,0
8,0
23,0
0,0
185,0
17,17
10,10
115,63
0,0
18,0
7,7
81,0
66,0
0,0
31,0
135,79
3,3
3,3
182,112
48,0
0,0
13,13
0,0
181,111
3,3
3,3
182,112
182,112
181,111
182,112
181,111
0,0
13,13
87,0
9,0
0,0
21,0
54,0
181,111
34,0
186,0
7,7
169,104
45,0
183,113
181,111
1,1
17,17
165,100
12,12
2,2
0,0
157,98
182,112
0,0
0,0
181,111
182,112
187,0
184,114
27,0
175,0
175,0
8,0
181,111
0,0
185,0
181,111
184,114
181,111
20,0
149,90
7,7
42,0
1,1
2,2
34,0
1,1
0,0
0,0
113,61
19,19
0,0
20,0
43,0
37,0
15,15
25,0
19,19
22,22
25,0
29,0
38,0
173,0
170,0
10,10
35,34
181,111
9,0
25,0
181,111
181,111
19,19
9,0
132,76
0,0
181,111
0,0
19,19
181,111
169,104
34,0
1,1
153,94
12,12
8,0
19,19
27,0
1,1
2,2
0,0
0,0
30,0
16,0
171,0
16,0
36,0
11,0
24,0
150,91
10,10
60,49
0,0
1,1
13,13
13,13
114,62
2,2
2,2
45,0
24,0
18,0
62,0
5,5
15,15
10,10
10,10
10,10
10,10
10,10
10,10
15,15
26,26
29,0
23,0
17,17
184,114
27,0
19,19
35,34
153,94
34,0
8,0
0,0
20,0
165,100
6,0
181,111
69,0
64,0
7,7
0,0
8,0
11,0
0,0
45,0
12,12
4,0
4,0
2,2
15,15
132,76
185,0
45,0
15,15
124,0
0,0
3,3
9,0
16,0
16,0
16,0
16,0
114,62
16,0
28,0
17,17
0,0
87,0
51,0
0,0
41,0
34,0
51,0
182,112
134,78
118,66
11,0
0,0
1,1
30,0
0,0
20,0
2,2
0,0
42,0
29,0
74,0
17,17
149,90
0,0
2,2
0,0
29,0
14,0
168,103
20,0
34,0
4,0
132,76
15,15
8,0
27,0
1,1
0,0
0,0
26,26
0,0
60,49
114,62
24,0
1,1
134,78
8,0
31,0
19,19
31,0
127,0
0,0
15,15
2,2
0,0
166,0
21,0
0,0
4,0
0,0
155,0
154,95
0,0
87,0
23,0
117,0
170,0
20,0
5,5
0,0
0,0
16,0
36,0
141,0
63,0
120,68
27,0
13,13
7,7
51,0
7,7
0,0
3,3
37,0
41,0
0,0
17,17
0,0
21,0
0,0
0,0
20,0
21,0
138,82
23,0
42,0
16,0
0,0
0,0
2,2
31,0
6,0
168,103
10,10
0,0
0,0
8,0
0,0
81,0
10,10
40,39
91,0
113,61
30,0
5,5
28,0
24,0
28,0
11,0
25,0
4,0
0,0
16,0
54,0
41,0
30,0
21,0
170,0
54,0
38,0
31,0
16,0
4,0
35,34
0,0
3,3
39,0
36,0
133,77
116,64
139,83
150,91
149,90
137,81
42,0
4,0
24,0
36,0
33,0
118,66
0,0
136,80
28,0
0,0
22,22
57,0
0,0
152,93
119,67
121,0
0,0
185,0
35,34
4,0
62,0
152,93
69,0
42,0
0,0
0,0
0,0
113,61
0,0
0,0
0,0
60,49
2,2
4,0
3,3
18,0
17,17
134,78
133,77
150,91
0,0
87,0
0,0
63,0
8,0
6,0
22,22
0,0
171,0
2,2
24,0
0,0
21,0
38,0
156,97
0,0
29,0
15,15
139,83
134,78
0,0
30,0
0,0
19,19
19,19
25,0
14,0
42,0
60,49
10,10
69,0
0,0
1,1
0,0
0,0
4,0
60,49
133,77
18,0
167,102
0,0
114,62
2,2
34,0
4,0
33,0
16,0
132,76
43,0
15,15
19,19
27,0
14,0
21,0
42,0
21,0
0,0
4,0
6,0
20,0
19,19
10,10
186,0
9,0
9,0
13,13
63,0
63,0
63,0
119,67
0,0
0,0
20,0
46,0
27,0
19,19
37,0
34,0
7,7
134,78
166,0
0,0
40,39
38,0
27,0
10,10
30,0
36,0
0,0
33,0
18,0
0,0
31,0
0,0
0,0
2,2
2,2
0,0
1,1
8,0
0,0
8,0
6,0
0,0
169,104
38,0
62,0
3,3
17,17
16,0
0,0
14,0
37,0
25,0
1,1
0,0
0,0
181,111
148,89
0,0
153,94
0,0
43,0
26,26
10,10
0,0
171,0
0,0
5,5
15,15
18,0
12,12
10,10
9,0
39,0
11,0
0,0
0,0
43,0
15,15
64,0
1,1
7,7
40,39
63,0
29,0
0,0
42,0
0,0
12,12
37,0
22,22
46,0
18,0
5,5
6,0
0,0
14,0
0,0
0,0
153,94
19,19
13,13
134,78
10,10
0,0
11,0
0,0
0,0
15,15
0,0
0,0
0,0
15,15
0,0
151,92
39,0
158,0
6,0
74,0
133,77
173,0
87,0
6,0
15,15
11,0
113,61
1,1
87,0
171,0
0,0
136,80
0,0
137,81
17,17
0,0
1,1
141,0
0,0
9,0
6,0
2,2
0,0
11,0
0,0
40,39
0,0
167,102
69,0
4,0
42,0
0,0
2,2
0,0
1,1
13,13
42,0
54,0
2,2
0,0
0,0
9,0
11,0
18,0
11,0
43,0
66,0
167,102
134,78
183,113
0,0
34,0
45,0
5,5
0,0
0,0
21,0
0,0
9,0
167,102
11,0
36,0
5,5
22,22
172,0
2,2
33,0
167,102
19,19
147,88
34,0
0,0
14,0
69,0
0,0
26,26
151,92
9,0
41,0
36,0
2,2
20,0
69,0
2,2
168,103
0,0
21,0
1,1
64,0
0,0
8,0
0,0
5,5
114,62
0,0
133,77
0,0
41,0
2,2
22,22
0,0
0,0
51,0
0,0
28,0
31,0
9,0
10,10
0,0
40,39
4,0
21,0
17,17
0,0
2,2
29,0
0,0
18,0
0,0
23,0
165,100
6,0
13,13
4,0
9,0
21,0
0,0
11,0
12,12
16,0
20,0
165,100
15,15
24,0
0,0
27,0
13,13
5,5
13,13
8,0
0,0
165,100
0,0
156,97
63,0
22,22
184,114
10,10
181,111
22,22
0,0
184,114
27,0
0,0
41,0
0,0
28,0
66,0
135,79
182,112
0,0
181,111
17,17
133,77
133,77
14,0
166,0
20,0
39,0
0,0
57,0
54,0
45,0
4,0
138,82
187,0
12,12
0,0
13,13
0,0
165,100
14,0
43,0
0,0
4,0
117,0
0,0
5,5
45,0
22,22
4,0
61,0
1,1
7,7
167,102
26,26
151,92
0,0
0,0
34,0
0,0
113,61
15,15
13,13
6,0
23,0
171,0
15,15
2,2
4,0
0,0
158,0
8,0
7,7
168,103
9,0
63,0
48,0
169,104
170,0
0,0
0,0
155,0
6,0
133,77
84,0
2,2
51,0
150,91
140,84
165,100
41,0
5,5
0,0
0,0
51,0
25,0
7,7
14,0
13,13
41,0
133,77
0,0
148,89
158,0
31,0
0,0
0,0
183,113
6,0
0,0
61,0
187,0
4,0
0,0
5,5
0,0
17,17
138,82
13,13
117,0
0,0
2,2
0,0
64,0
117,0
0,0
4,0
39,0
0,0
0,0
4,0
174,0
2,2
6,0
2,2
9,0
8,0
24,0
2,2
148,89
165,100
175,0
0,0
123,0
166,0
15,15
121,0
5,5
113,61
9,0
5,5
60,49
43,0
0,0
14,0
9,0
27,0
46,0
13,13
133,77
0,0
0,0
3,3
20,0
28,0
0,0
0,0
117,0
17,17
133,77
31,0
39,0
6,0
5,5
19,19
14,0
0,0
7,7
167,102
0,0
135,79
0,0
15,15
124,0
14,0
22,22
113,61
175,0
0,0
134,78
165,100
126,0
0,0
0,0
151,92
135,79
3,3
4,0
34,0
14,0
26,26
63,0
20,0
26,26
133,77
113,61
38,0
48,0
154,95
62,0
40,39
23,0
10,10
11,0
66,0
0,0
12,12
124,0
0,0
133,77
141,0
40,39
28,0
45,0
0,0
113,61
22,22
18,0
0,0
0,0
23,0
14,0
15,15
4,0
168,103
15,15
0,0
172,0
0,0
113,61
30,0
1,1
0,0
181,111
3,3
124,0
0,0
24,0
12,12
142,0
81,0
182,112
14,0
14,0
12,12
15,15
20,0
8,0
0,0
23,0
46,0
8,0
38,0
12,12
10,10
23,0
3,3
4,0
0,0
7,7
11,0
0,0
133,77
0,0
0,0
60,49
183,113
31,0
41,0
0,0
38,0
2,2
33,0
12,12
0,0
39,0
11,0
1,1
132,76
158,0
116,64
152,93
142,0
20,0
125,73
0,0
0,0
63,0
7,7
0,0
31,0
5,5
15,15
27,0
14,0
0,0
64,0
122,0
16,0
5,5
0,0
35,34
6,0
84,0
7,7
0,0
8,0
40,39
21,0
1,1
62,0
0,0
61,0
66,0
11,0
46,0
38,0
28,0
22,22
37,0
18,0
4,0
0,0
20,0
0,0
1,1
0,0
8,0
62,0
4,0
8,0
0,0
41,0
0,0
31,0
14,0
8,0
0,0
0,0
116,64
74,0
172,0
17,17
143,0
63,0
0,0
8,0
5,5
26,26
151,92
6,0
169,104
41,0
0,0
20,0
147,88
16,0
33,0
14,0
134,78
157,98
0,0
7,7
0,0
25,0
124,0
51,0
22,22
125,73
27,0
48,0
31,0
7,7
9,0
14,0
5,5
0,0
136,80
40,39
54,0
117,0
34,0
0,0
10,10
33,0
0,0
21,0
114,62
20,0
40,39
0,0
0,0
13,13
27,0
150,91
11,0
8,0
4,0
69,0
115,63
0,0
51,0
0,0
48,0
0,0
19,19
0,0
0,0
0,0
27,0
152,93
0,0
0,0
13,13
0,0
4,0
29,0
6,0
172,0
0,0
21,0
123,0
143,0
0,0
133,77
48,0
29,0
16,0
173,0
137,81
8,0
48,0
21,0
0,0
9,0
4,0
23,0
0,0
13,13
34,0
120,68
57,0
7,7
41,0
0,0
0,0
13,13
113,61
7,7
4,0
0,0
0,0
148,89
136,80
119,67
4,0
116,64
174,0
69,0
118,66
5,5
28,0
132,76
91,0
0,0
0,0
21,0
1,1
0,0
40,39
23,0
1,1
0,0
13,13
132,76
42,0
126,0
115,63
166,0
0,0
35,34
33,0
23,0
30,0
167,102
114,62
113,61
140,84
18,0
43,0
19,19
28,0
123,0
1,1
46,0
141,0
154,95
121,0
2,2
2,2
0,0
134,78
122,0
26,26
45,0
114,62
0,0
57,0
0,0
3,3
74,0
121,0
36,0
11,0
12,12
46,0
141,0
18,0
12,12
14,0
167,102
24,0
91,0
45,0
118,66
21,0
0,0
84,0
4,0
138,82
37,0
0,0
40,39
0,0
38,0
114,62
0,0
9,0
29,0
64,0
0,0
0,0
13,13
34,0
0,0
0,0
4,0
31,0
0,0
5,5
0,0
24,0
61,0
147,88
167,102
120,68
0,0
0,0
184,114
33,0
155,0
125,73
37,0
63,0
11,0
34,0
36,0
0,0
154,95
122,0
8,0
183,113
0,0
0,0
168,103
0,0
152,93
39,0
120,68
7,7
166,0
121,0
9,0
5,5
1,1
0,0
60,49
30,0
34,0
36,0
0,0
21,0
7,7
43,0
135,79
183,113
15,15
0,0
0,0
6,0
39,0
0,0
62,0
14,0
27,0
0,0
35,34
157,98
22,22
38,0
135,79
10,10
122,0
132,76
0,0
84,0
0,0
36,0
18,0
118,66
136,80
138,82
0,0
0,0
34,0
116,64
17,17
60,49
115,63
34,0
6,0
0,0
0,0
182,112
132,76
57,0
54,0
123,0
61,0
117,0
121,0
6,0
39,0
0,0
19,19
29,0
45,0
1,1
40,39
0,0
48,0
31,0
54,0
10,10
60,49
0,0
60,49
148,89
122,0
0,0
119,67
91,0
114,62
183,113
0,0
0,0
132,76
26,26
25,0
45,0
0,0
81,0
17,17
114,62
0,0
1,1
15,15
11,0
22,22
31,0
150,91
28,0
0,0
4,0
168,103
0,0
74,0
18,0
6,0
132,76
8,0
0,0
18,0
13,13
38,0
154,95
0,0
115,63
0,0
116,64
0,0
13,13
0,0
81,0
19,19
127,0
35,34
9,0
166,0
137,81
119,67
184,114
183,113
12,12
26,26
9,0
36,0
0,0
9,0
0,0
8,0
142,0
64,0
19,19
87,0
121,0
0,0
137,81
3,3
28,0
8,0
173,0
7,7
7,7
117,0
63,0
66,0
1,1
0,0
120,68
132,76
18,0
11,0
166,0
25,0
143,0
0,0
0,0
3,3
41,0
12,12
16,0
0,0
8,0
151,92
54,0
1,1
155,0
0,0
117,0
14,0
45,0
114,62
13,13
147,88
0,0
28,0
0,0
122,0
183,113
11,0
64,0
0,0
3,3
125,73
140,84
0,0
10,10
3,3
0,0
138,82
118,66
69,0
5,5
0,0
8,0
7,7
0,0
0,0
39,0
0,0
29,0
153,94
142,0
17,17
20,0
117,0
0,0
4,0
21,0
81,0
116,64
6,0
116,64
0,0
167,102
0,0
116,64
0,0
2,2
26,26
4,0
15,15
14,0
0,0
165,100
184,114
27,0
0,0
0,0
132,76
3,3
140,84
3,3
182,112
28,0
0,0
140,84
118,66
24,0
172,0
3,3
46,0
27,0
116,64
42,0
3,3
135,79
69,0
3,3
17,17
134,78
136,80
139,83
0,0
3,3
61,0
10,10
132,76
133,77
0,0
51,0
8,0
138,82
14,0
3,3
12,12
158,0
0,0
3,3
7,7
10,10
113,61
137,81
124,0
27,0
135,79
185,0
0,0
61,0
135,79
152,93
19,19
0,0
3,3
113,61
29,0
138,82
3,3
0,0
10,10
30,0
10,10
0,0
17,17
181,111
3,3
134,78
6,0
135,79
0,0
0,0
48,0
116,64
0,0
33,0
0,0
132,76
60,49
136,80
0,0
0,0
171,0
133,77
46,0
137,81
12,12
148,89
5,5
0,0
12,12
141,0
34,0
5,5
35,34
0,0
1,1
116,64
37,0
0,0
113,61
0,0
33,0
0,0
132,76
23,0
0,0
184,114
181,111
1,1
0,0
0,0
116,64
57,0
0,0
0,0
8,0
127,0
12,12
5,5
134,78
45,0
118,66
17,17
153,94
36,0
22,22
181,111
9,0
115,63
0,0
143,0
91,0
113,61
0,0
114,62
0,0
64,0
133,77
29,0
0,0
66,0
0,0
3,3
0,0
113,61
12,12
12,12
0,0
157,98
0,0
36,0
9,0
114,62
0,0
133,77
17,17
0,0
40,39
0,0
114,62
4,0
118,66
148,89
51,0
14,0
149,90
0,0
0,0
0,0
139,83
113,61
3,3
27,0
115,63
18,0
122,0
120,68
29,0
0,0
182,112
169,104
10,10
115,63
21,0
121,0
7,7
37,0
0,0
135,79
9,0
0,0
152,93
23,0
1,1
37,0
25,0
136,80
139,83
0,0
62,0
6,0
48,0
28,0
0,0
20,0
30,0
25,0
6,0
136,80
45,0
0,0
38,0
0,0
8,0
139,83
132,76
133,77
135,79
133,77
114,62
117,0
0,0
35,34
29,0
3,3
136,80
115,63
5,5
117,0
14,0
0,0
0,0
0,0
1,1
150,91
147,88
36,0
137,81
135,79
0,0
30,0
48,0
0,0
3,3
182,112
186,0
91,0
28,0
0,0
21,0
13,13
137,81
39,0
48,0
19,19
113,61
18,0
0,0
0,0
151,92
0,0
6,0
26,26
0,0
51,0
120,68
138,82
66,0
0,0
0,0
3,3
30,0
6,0
139,83
136,80
25,0
0,0
0,0
23,0
26,26
31,0
147,88
113,61
30,0
0,0
147,88
0,0
9,0
15,15
11,0
7,7
14,0
43,0
41,0
16,0
125,73
132,76
132,76
20,0
43,0
24,0
157,98
5,5
9,0
3,3
45,0
0,0
120,68
3,3
0,0
54,0
17,17
3,3
3,3
28,0
132,76
0,0
127,0
0,0
125,73
134,78
37,0
35,34
11,0
0,0
132,76
0,0
0,0
13,13
10,10
18,0
33,0
4,0
38,0
4,0
43,0
0,0
0,0
115,63
60,49
12,12
66,0
127,0
9,0
33,0
0,0
15,15
0,0
2,2
0,0
11,0
0,0
33,0
120,68
0,0
10,10
0,0
137,81
147,88
5,5
22,22
22,22
134,78
17,17
0,0
0,0
14,0
14,0
0,0
17,17
24,0
0,0
14,0
61,0
115,63
