ProtA,ProtB,bicor,SymbolA,SymbolB
P03911,Q9CQH3,0.969251239502759,ND4,Ndufb5
P03888,P03911,0.967846432081045,ND1,ND4
P21278,Q80ZJ1,0.957151575468351,Gna11,Rap2a
Q5FWK3,Q6P5E8,0.956757890602107,Arhgap1,Dgkq
P21107,P26048,0.954835678004312,Tpm3,Gabra2
P26048,P62897,0.954519961925642,Gabra2,Cycs
B2RSH2,P97797,0.953276192361678,Gnai1,Sirpa
O35874,P03911,0.952797965981608,Slc1a4,ND4
P97797,Q6NXK7,0.952105859257393,Sirpa,Dpp10
P03888,Q9CQH3,0.94795572058795,ND1,Ndufb5
P21278,Q60738,0.946698180951958,Gna11,Slc30a1
P03911,Q9D023,0.946482365752309,ND4,Mpc2
Q99L43,Q9Z0S6,0.944322465455303,Cds2,Cldn10
P97823,Q9CPY7,0.94382672681813,Lypla1,Lap3
P62484,Q91XY4,0.942363669538233,Abi2,Pcdhga4
P26048,Q9D023,0.942349112314852,Gabra2,Mpc2
P97797,Q80ZJ1,0.94219952876621,Sirpa,Rap2a
Q60738,Q80ZJ1,0.940514496052975,Slc30a1,Rap2a
P63321,Q80ZJ1,0.939164793058132,Rala,Rap2a
P10637,P50518,0.938574615130195,Mapt,Atp6v1e1
P21107,P62897,0.937868864278687,Tpm3,Cycs
B2RSH2,Q80ZJ1,0.934707481089619,Gnai1,Rap2a
B2RSH2,Q60738,0.933326453962507,Gnai1,Slc30a1
O35526,P62874,0.932806166377097,Stx1a,Gnb1
P03911,P26048,0.932399080223567,ND4,Gabra2
B2RSH2,P21278,0.932360286124399,Gnai1,Gna11
Q99NB1,Q9Z2Q5,0.931428979446894,Acss1,Mrpl40
P62897,Q9D023,0.9307439547802,Cycs,Mpc2
P61022,P62137,0.930724261470589,Chp1,Ppp1ca
P97797,Q60738,0.930721602129925,Sirpa,Slc30a1
P21278,P97797,0.930624912266126,Gna11,Sirpa
P63321,Q63739,0.928788435468231,Rala,Ptp4a1
P50153,P63321,0.927979987487076,Gng4,Rala
P50518,Q99PL6,0.927501952141037,Atp6v1e1,Ubxn6
O35526,Q80ZJ1,0.926618094975432,Stx1a,Rap2a
Q99NB1,Q9EQI8,0.926303509521794,Acss1,Mrpl46
O35526,Q6P5F6,0.926197693389679,Stx1a,Slc39a10
O35874,Q9CQH3,0.925520505794107,Slc1a4,Ndufb5
P63321,P97797,0.925437770249464,Rala,Sirpa
P26048,P35802,0.924362166726375,Gabra2,Gpm6a
O35526,Q924N4,0.924184174411134,Stx1a,Slc12a6
B2RSH2,Q61627,0.924080319677838,Gnai1,Grid1
P62137,Q6P5F6,0.923753338631609,Ppp1ca,Slc39a10
B2RSH2,P62874,0.923503250206342,Gnai1,Gnb1
P62874,Q80ZJ1,0.922918026678558,Gnb1,Rap2a
O35874,P03888,0.922302392326651,Slc1a4,ND1
O35874,P26048,0.921901054721358,Slc1a4,Gabra2
Q6NXK7,Q8CBW3,0.920959891020903,Dpp10,Abi1
O35874,Q9Z0S6,0.920909169213294,Slc1a4,Cldn10
P63321,Q6NXK7,0.920846640882094,Rala,Dpp10
B2RSH2,P61022,0.920032249271944,Gnai1,Chp1
P61022,P62874,0.920023951181427,Chp1,Gnb1
B2RSH2,Q6NXK7,0.919735813269874,Gnai1,Dpp10
P10637,Q9JME5,0.919579843912232,Mapt,Ap3b2
P20065,P68037,0.918703740799078,Tmsb4x,Ube2l3
P50518,Q5FWK3,0.918277907851108,Atp6v1e1,Arhgap1
Q60738,Q6PAK3,0.917999391600415,Slc30a1,Prmt8
O35874,Q7TMB8,0.917648900720662,Slc1a4,Cyfip1
P50153,Q63739,0.91728686519096,Gng4,Ptp4a1
P21107,Q9D023,0.917139237894961,Tpm3,Mpc2
P50518,Q6P5E8,0.916193861464874,Atp6v1e1,Dgkq
P17427,P46460,0.916011511089825,Ap2a2,Nsf
B2RSH2,P63321,0.915826409082391,Gnai1,Rala
P21107,P35802,0.915515697983068,Tpm3,Gpm6a
Q6NXK7,Q80ZJ1,0.913555028300046,Dpp10,Rap2a
P61022,Q9DC51,0.913426276920111,Chp1,Gnai3
P03911,P62897,0.913130540153335,ND4,Cycs
P62137,Q80ZJ1,0.912999018427024,Ppp1ca,Rap2a
P61022,Q99PI8,0.912675594411247,Chp1,Rtn4r
Q99KK9,Q99NB1,0.912456011298755,Hars2,Acss1
O35526,P63321,0.91212646453427,Stx1a,Rala
P62137,Q3TLI0,0.911798076861513,Ppp1ca,Trappc10
Q9EQI8,Q9Z2Q5,0.911760007916738,Mrpl46,Mrpl40
Q8BFY6,Q91YE6,0.911714958910223,Pef1,Ipo9
P62897,Q7TMB8,0.911707612996298,Cycs,Cyfip1
Q6P5F6,Q9QZB1,0.911684530668055,Slc39a10,Rgs20
Q64455,Q924N4,0.911509497163966,Ptprj,Slc12a6
O35526,P21278,0.911490803175341,Stx1a,Gna11
Q8QZV4,Q91VR8,0.911364056291168,Stk32c,Brk1
P35802,Q9D023,0.911051268595411,Gpm6a,Mpc2
Q9CQH3,Q9D023,0.910445569626019,Ndufb5,Mpc2
P50153,P62137,0.910397883541979,Gng4,Ppp1ca
P62874,Q9DC51,0.910386500513869,Gnb1,Gnai3
P03888,P26048,0.910054324738006,ND1,Gabra2
Q60738,Q6P5F6,0.909918601445277,Slc30a1,Slc39a10
P50518,Q9CY34,0.909454892774033,Atp6v1e1,Ube2f
P62874,P97797,0.90942924459385,Gnb1,Sirpa
P97823,Q9EQI8,0.909322701307162,Lypla1,Mrpl46
Q63739,Q6P5F6,0.909228544017248,Ptp4a1,Slc39a10
P20065,P21107,0.909059691886345,Tmsb4x,Tpm3
P97797,Q8CBW3,0.908834611696024,Sirpa,Abi1
Q5FWK3,Q9CR00,0.908763800136751,Arhgap1,Psmd9
P21278,P62137,0.908603459795512,Gna11,Ppp1ca
O35526,P97797,0.908425930697796,Stx1a,Sirpa
P54227,Q8QZV4,0.908289065806336,Stmn1,Stk32c
P10637,Q5FWK3,0.907411669455166,Mapt,Arhgap1
P03888,Q9D023,0.907399026898491,ND1,Mpc2
P63321,Q6P5F6,0.907316854869254,Rala,Slc39a10
O35526,Q9D486,0.907118165821137,Stx1a,Cmip
P26048,Q9Z0S6,0.907000670418774,Gabra2,Cldn10
P62137,Q60738,0.906764505310655,Ppp1ca,Slc30a1
P35505,P84091,0.906277437997009,Fah,Ap2m1
P21278,P63321,0.905756506631975,Gna11,Rala
O08917,P97798,0.905112740741496,Flot1,Neo1
P50153,P97797,0.904694836740967,Gng4,Sirpa
P20065,P62897,0.90467847671072,Tmsb4x,Cycs
P61022,P97797,0.904512686682509,Chp1,Sirpa
O35526,Q9QZB1,0.904377341250766,Stx1a,Rgs20
P0DP27,Q9CY34,0.904332514943256,Calm2,Ube2f
P62874,P63321,0.904138939799124,Gnb1,Rala
P60840,Q9CQC6,0.903927523421424,Ensa,Bzw1
