Module,Protein
M19,Camsap1|A2AHC3
M19,Rab11fip2|G3XA57
M19,Pitpnm1|O35954
M19,Myl4|P09541
M19,Rasgrf2|P70392
M19,Dip2b|Q3UH60
M19,Kif3b|Q61771
M19,Ppp1r13b|Q62415
M19,Ralgapa1|Q6GYP7
M19,Soga3|Q6NZL0
M19,Caskin1|Q6P9K8
M19,Dmxl1|Q6PNC0
M19,Camsap3|Q80VC9
M19,Nbea|Q9EPN1
M19,Mast1|Q9R1L5
M20,Aldoc|P05063
M20,Gstm1|P10649
M20,Gpx1|P11352
M20,Nedd4|P46935
M20,Gad1|P48318
M20,Phgdh|Q61753
M20,Akr7a2|Q8CG76
M20,Pygb|Q8CI94
M20,Aldh1l1|Q8R0Y6
M20,Nit1|Q8VDK1
M20,Epm2aip1|Q8VEH5
M20,Gars|Q9CZD3
M20,Nit2|Q9JHW2
M20,Ndrg2|Q9QYG0
M20,Pygm|Q9WUB3
M21,Psmd4|O35226
M21,Psmc3|O88685
M21,Tkt|P40142
M21,Psmc4|P54775
M21,Elob|P62869
M21,Psmd1|Q3TXS7
M21,Arhgap44|Q5SSM3
M21,Tsn|Q62348
M21,Tln2|Q71LX4
M21,Rnf214|Q8BFU3
M21,Sh3glb2|Q8R3V5
M21,Psmd2|Q8VDM4
M21,Dctn2|Q99KJ8
M21,Psmd13|Q9WVJ2
M21,Clip2|Q9Z0H8
M26,Strn|O55106
M26,Strn4|P58404
M26,Ppp1ca|P62137
M26,Abi2|P62484
M26,Cttn|Q60598
M26,Mob4|Q6PEB6
M26,Ppp1r9b|Q6R891
M26,Rimbp2|Q80U40
M26,Lin7a|Q8JZS0
M26,Sh3kbp1|Q8R550
M26,Pdzd11|Q9CZG9
M26,Ppp1r12a|Q9DBR7
M26,Dmtn|Q9WV69
M32,Nceh1|Q8BLF1
M32,Daam1|Q8BPM0
M32,Tmx4|Q8C0L0
M32,Gpc5|Q8CAL5
M32,NA|Q8K207
M32,Rmc1|Q8VC42
M32,Reep2|Q8VCD6
M32,Cdipt|Q8VDP6
M32,Cspg4|Q8VHY0
M32,Slc23a2|Q9EPR4
M32,Jph3|Q9ET77
