V1,prots,entrez,uniprot,symbol
1,Arfgef2|A2A5R2,99371,A2A5R2,Arfgef2
2,Tanc2|A2A690,77097,A2A690,Tanc2
3,Fam171a2|A2A699,217219,A2A699,Fam171a2
4,Ptprf|A2A8L5,19268,A2A8L5,Ptprf
5,Kiaa1109|A2AAE1,229227,A2AAE1,4932438A13Rik
6,Ddi2|A2ADY9,68817,A2ADY9,Ddi2
7,Map7d2|A2AG50,78283,A2AG50,Map7d2
8,Ckap5|A2AGT5,75786,A2AGT5,Ckap5
9,Camsap1|A2AHC3,227634,A2AHC3,Camsap1
10,Lzts3|A2AHG0,241638,A2AHG0,Lzts3
11,Ajm1|A2AJA9,381353,A2AJA9,Ajm1
12,Map7d1|A2AJI0,245877,A2AJI0,Map7d1
13,Ajap1|A2ALI5,230959,A2ALI5,Ajap1
14,Rap1gap|A2ALS5,110351,A2ALS5,Rap1gap
15,Shroom2|A2ALU4,110380,A2ALU4,Shroom2
16,Ubr4|A2AN08,69116,A2AN08,Ubr4
17,Plch2|A2AP18,269615,A2AP18,Plch2
18,Fmnl2|A2APV2,71409,A2APV2,Fmnl2
19,Scn1a|A2APX8,20265,A2APX8,Scn1a
20,Skt|A2AQ25,208618,A2AQ25,Etl4
21,Ankrd63|A2ARS0,383787,A2ARS0,Ankrd63
22,Slc25a25|A2ASZ8,227731,A2ASZ8,Slc25a25
23,Rabgap1|A2AWA9,227800,A2AWA9,Rabgap1
24,Kalrn|A2CG49,545156,A2CG49,Kalrn
25,Uhrf1bp1l|A2RSJ4,75089,A2RSJ4,Uhrf1bp1l
26,Fbxl16|A2RT62,214931,A2RT62,Fbxl16
27,Exoc6b|A6H5Z3,75914,A6H5Z3,Exoc6b
28,Armt1|A6H630,73419,A6H630,Armt1
29,Nlgn4l|B0F2B4,100113365,B0F2B4,Nlgn4l
30,Ptprs|B0V2N1,19280,B0V2N1,Ptprs
31,Cisd3|B1AR13,217149,B1AR13,Cisd3
32,Grik3|B1AS29,14807,B1AS29,Grik3
33,Frrs1l|B1AXV0,230235,B1AXV0,Frrs1l
34,Usp24|B1AY13,329908,B1AY13,Usp24
35,Dlgap4|B1AZP2,228836,B1AZP2,Dlgap4
36,Cad|B2RQC6,69719,B2RQC6,Cad
37,Gnai1|B2RSH2,14677,B2RSH2,Gnai1
38,Apba1|B2RUJ5,319924,B2RUJ5,Apba1
39,Trappc11|B2RXC1,320714,B2RXC1,Trappc11
40,Plxnb2|B2RXS4,140570,B2RXS4,Plxnb2
41,Ildr2|B5TVM2,100039795,B5TVM2,Ildr2
42,Clip3|B9EHT4,76686,B9EHT4,Clip3
43,Pdzd8|B9EJ80,107368,B9EJ80,Pdzd8
44,Osbpl8|B9EJ86,237542,B9EJ86,Osbpl8
45,Cttnbp2|B9EJA2,30785,B9EJA2,Cttnbp2
46,Ptprz1|B9EKR1,19283,B9EKR1,Ptprz1
47,Akap5|D3YVF0,238276,D3YVF0,Akap5
48,Pgbd5|D3YZI9,209966,D3YZI9,Pgbd5
49,Ccdc6|D3YZP9,76551,D3YZP9,Ccdc6
50,Shank1|D3YZU1,243961,D3YZU1,Shank1
51,Bin2|D3Z6Q9,668218,D3Z6Q9,Bin2
52,Gls|D3Z7P3,14660,D3Z7P3,Gls
53,Prrt2|E9PUL5,69017,E9PUL5,Prrt2
54,Gcn1|E9PVA8,231659,E9PVA8,Gcn1
55,Pi4ka|E9Q3L2,224020,E9Q3L2,Pi4ka
56,Ryr2|E9Q401,20191,E9Q401,Ryr2
57,Wdfy1|E9Q4P1,69368,E9Q4P1,Wdfy1
58,Pde8b|E9Q4S1,218461,E9Q4S1,Pde8b
59,Ttc7b|E9Q6P5,104718,E9Q6P5,Ttc7b
60,Fry|E9Q8I9,320365,E9Q8I9,Fry
61,Syngap1|F6SEU4,240057,F6SEU4,Syngap1
62,Tpr|F6ZDS4,108989,F6ZDS4,Tpr
63,Farp1|F8VPU2,223254,F8VPU2,Farp1
64,Arfgef1|G3X9K3,211673,G3X9K3,Arfgef1
65,Rab11fip2|G3XA57,74998,G3XA57,Rab11fip2
66,Atp2b1|G5E829,67972,G5E829,Atp2b1
